Weights
"[[ 0.46347491+2.20840043e-18j  0.42521087+8.79551864e-20j
  -0.052127  +3.21760510e-18j  0.10648598+1.14049912e-18j]]"
"[[ 0.46653493-6.97418543e-19j  0.42650353+1.25842136e-18j
  -0.06104557-3.29618536e-18j  0.10878717-2.58982766e-18j]]"
"[[ 0.46877725-4.10016739e-19j  0.42210013-1.29952483e-18j
  -0.06157366+4.52020046e-19j  0.10914414-8.52683844e-19j]]"
"[[ 0.46783986+1.33045503e-18j  0.42296812-3.96071373e-19j
  -0.05385952+4.89785207e-19j  0.10288259-1.63400202e-18j]]"
"[[ 0.4711141 +1.04880848e-18j  0.41844578+2.34047825e-19j
  -0.04879365+7.06741135e-19j  0.09530075-6.45930809e-20j]]"
"[[ 0.47176992+2.70096589e-19j  0.40952335-9.59542254e-19j
  -0.05575802-1.63095612e-19j  0.10781243-1.68929613e-18j]]"
"[[ 0.45415959+6.55535200e-19j  0.41532396-7.77340256e-19j
  -0.04416217+2.82228108e-18j  0.11119735+1.44243939e-18j]]"
"[[ 0.46555691-1.67842002e-19j  0.43437752+2.51300282e-19j
  -0.05547637-3.28333262e-18j  0.10252395-3.37773904e-18j]]"
"[[ 0.46761746+3.32527108e-19j  0.41302734+4.96457142e-19j
  -0.05209482+7.76080331e-19j  0.1066043 +1.09297194e-18j]]"
"[[ 0.46346827+2.52308486e-19j  0.42693377+9.82275108e-19j
  -0.05622061-2.02831917e-18j  0.10724809-1.16135924e-18j]]"
"[[ 0.4574125 +1.50338976e-18j  0.43722478+2.78114375e-19j
  -0.05056406+1.26927750e-18j  0.10247849-8.30724077e-19j]]"
"[[ 0.46497873-3.82128816e-19j  0.423212  -1.00619769e-18j
  -0.0549915 +1.99043359e-19j  0.10648767+1.39082059e-19j]]"
"[[ 0.46604912-5.61513124e-19j  0.4326677 +4.72296102e-19j
  -0.05709408-2.49360587e-18j  0.10201422-2.62286286e-18j]]"
"[[ 0.47019416+1.19313390e-18j  0.4364471 -2.54435213e-19j
  -0.05939646+1.82628448e-18j  0.09780757+1.60256888e-19j]]"
"[[ 0.45894794+9.61727481e-19j  0.42000474+6.39585139e-20j
  -0.04420267-4.60092686e-19j  0.10329454-2.48164655e-18j]]"
"[[ 0.46978888+1.48794137e-18j  0.43905762-2.20694675e-18j
  -0.04094664+3.36478508e-18j  0.05456188+4.93143176e-19j]]"
"[[ 0.46296231+3.25200192e-19j  0.4358983 +3.62583084e-19j
  -0.05983956+7.67293396e-19j  0.10686847+1.31352577e-18j]]"
"[[ 0.46627304+2.16082912e-18j  0.43123894-3.22463812e-19j
  -0.05741982+3.90306093e-18j  0.10723275+1.14033670e-18j]]"
"[[ 0.48901527+7.25971305e-19j  0.41000538-1.25618537e-18j
  -0.06100121+8.80528670e-19j  0.09142338-8.45049522e-19j]]"
"[[ 0.48456076-6.87904292e-19j  0.41819044-1.25639571e-18j
  -0.07398845-8.69415623e-19j  0.11143348+1.89711941e-20j]]"
"[[ 0.47522953+8.08291156e-19j  0.41270372-4.76309766e-19j
  -0.06508023+1.79766673e-18j  0.110167  +5.04957077e-19j]]"
"[[ 0.47156859+8.43253434e-19j  0.42986411-1.50125493e-18j
  -0.04050275+1.82821157e-18j  0.05754966-7.24588355e-19j]]"
"[[ 0.48025255-1.26907039e-19j  0.43253519-6.35349680e-19j
  -0.05619001-2.77604399e-19j  0.06114178-6.48240421e-19j]]"
"[[ 0.46504546+4.64246500e-19j  0.41075719-1.11038901e-18j
  -0.0468958 +2.59039245e-19j  0.10431023-1.53941961e-18j]]"
"[[ 0.46991763+8.82805616e-21j  0.42699993-1.40361628e-19j
  -0.05810466+8.82677887e-19j  0.10422344+8.55454684e-19j]]"
"[[ 0.46095797-5.26896083e-19j  0.42883293+9.58390646e-19j
  -0.05722678-2.34856221e-18j  0.10986756-1.20773440e-18j]]"
"[[ 0.45760188+3.30845784e-19j  0.42999104-4.13917893e-20j
  -0.05334056-8.19065474e-20j  0.10899105-7.06560553e-19j]]"
"[[ 0.47411436+9.79920472e-19j  0.42917605-1.08217477e-19j
  -0.06402005+2.04044268e-18j  0.10173691+5.28183055e-19j]]"
"[[ 0.46823826+1.39553812e-18j  0.40303318-1.33499095e-18j
  -0.04714601+3.17246730e-18j  0.10481285+3.47291975e-19j]]"
"[[ 0.47901028-4.33960331e-19j  0.42075173-3.29369384e-19j
  -0.06349444-1.22123839e-18j  0.10004856-3.81169658e-19j]]"
