Modelo,Media_Accuracy,Max_Accuracy,Min_Accuracy,Std_Accuracy
IQCNDsE_Linha,0.99667,1.00000,0.99000,0.00290
IQCNDsE_Coluna,0.97756,0.99333,0.96333,0.00683
IQC_Linha,0.65822,0.71667,0.60667,0.02753
IQC_AIL_Linha,0.65811,0.71667,0.60667,0.02740
IQC_AIL_Coluna,0.45689,0.50333,0.41000,0.01953
IQC_Coluna,0.45611,0.50333,0.41000,0.02040
IQCpQ_tgt2_Coluna,0.41411,0.45667,0.36667,0.02193
IQC_Angle_Linha,0.20000,0.20000,0.20000,0.00000
IQC_Angle_Coluna,0.20000,0.20000,0.20000,0.00000
IQCpQ_tgt2_Linha,0.18567,0.23000,0.13000,0.02168
