Modelo,Media_F1_Scores,Max_F1_Scores,Min_F1_Scores,Std_F1_Scores
IQCNDsE_Linha,0.99664,1.00000,0.98993,0.00292
IQCNDsE_Coluna,0.97741,0.99329,0.96306,0.00684
IQC_Linha,0.64860,0.70882,0.60163,0.02690
IQC_AIL_Linha,0.64848,0.70882,0.60163,0.02675
IQC_AIL_Coluna,0.44646,0.50030,0.39900,0.02020
IQC_Coluna,0.44589,0.50030,0.39900,0.02079
IQCpQ_tgt2_Coluna,0.33950,0.37481,0.29813,0.01939
IQCpQ_tgt2_Linha,0.13062,0.15903,0.08823,0.01545
IQC_Angle_Linha,0.06667,0.06667,0.06667,0.00000
IQC_Angle_Coluna,0.06667,0.06667,0.06667,0.00000
