Modelo,Media_Accuracy,Max_Accuracy,Min_Accuracy,Std_Accuracy,Media_F1_Scores,Max_F1_Scores,Min_F1_Scores,Std_F1_Scores
IQCNDsE_Coluna,0.97756,0.99333,0.96333,0.00683,0.97741,0.99329,0.96306,0.00684
IQCNDsE_Linha,0.99667,1.00000,0.99000,0.00290,0.99664,1.00000,0.98993,0.00292
IQCpQ_tgt2_Coluna,0.41411,0.45667,0.36667,0.02193,0.33950,0.37481,0.29813,0.01939
IQCpQ_tgt2_Linha,0.18567,0.23000,0.13000,0.02168,0.13062,0.15903,0.08823,0.01545
IQC_AIL_Coluna,0.45689,0.50333,0.41000,0.01953,0.44646,0.50030,0.39900,0.02020
IQC_AIL_Linha,0.65811,0.71667,0.60667,0.02740,0.64848,0.70882,0.60163,0.02675
IQC_Angle_Coluna,0.20000,0.20000,0.20000,0.00000,0.06667,0.06667,0.06667,0.00000
IQC_Angle_Linha,0.20000,0.20000,0.20000,0.00000,0.06667,0.06667,0.06667,0.00000
IQC_Coluna,0.45611,0.50333,0.41000,0.02040,0.44589,0.50030,0.39900,0.02079
IQC_Linha,0.65822,0.71667,0.60667,0.02753,0.64860,0.70882,0.60163,0.02690
