Modelo,Media_Accuracy,Max_Accuracy,Min_Accuracy,Std_Accuracy
IQCNDsE_Linha,0.9966666666666666,1.0,0.99,0.0029032944690379303
IQCNDsE_Coluna,0.9775555555555555,0.9933333333333334,0.9633333333333332,0.006833169795258331
IQC_Linha,0.6582222222222222,0.7166666666666667,0.6066666666666667,0.027525443935692666
IQC_AIL_Linha,0.658111111111111,0.7166666666666667,0.6066666666666667,0.027399182432265693
IQC_AIL_Coluna,0.45688888888888884,0.5033333333333333,0.41,0.019533512480707928
IQC_Coluna,0.4561111111111111,0.5033333333333333,0.41,0.020399897327766085
IQCpQ_tgt2_Coluna,0.41411111111111104,0.4566666666666666,0.3666666666666667,0.0219313336847145
IQC_Angle_Linha,0.20000000000000007,0.2,0.2,5.646012854083702e-17
IQC_Angle_Coluna,0.20000000000000007,0.2,0.2,5.646012854083702e-17
IQCpQ_tgt2_Linha,0.18566666666666662,0.23,0.13,0.021675948498163088
