Weights
[[0.16109298+3.06207497e-19j 0.39433144+1.01428994e-18j]]
[[0.13881636+1.36678415e-18j 0.39697971-1.16801061e-18j]]
[[0.27603216+1.75880022e-18j 0.37420585-6.19524601e-19j]]
[[0.13207162+7.14250294e-19j 0.3723685 -3.46545253e-19j]]
[[0.10906621+7.59740816e-19j 0.3778461 +1.23903775e-19j]]
[[0.16792412-1.34241906e-18j 0.3797941 -7.81365267e-20j]]
[[0.14869185+4.86705103e-19j 0.37387919+4.89985034e-19j]]
[[0.1413125 +2.70156634e-19j 0.38943615+8.03402280e-19j]]
[[0.28494045+7.17306574e-19j 0.36471929+1.17986821e-18j]]
[[0.2680715 -6.39395216e-19j 0.33391456+1.49513285e-18j]]
[[0.12762456+8.20611906e-19j 0.39639712-3.17913237e-19j]]
[[0.16182097-3.12450014e-19j 0.38459168-4.28811559e-20j]]
[[0.28695894-1.93274826e-19j 0.33095548-2.77033612e-19j]]
[[0.13652475+2.61955417e-19j 0.38673742-6.04243875e-19j]]
[[0.14297774+1.42362571e-18j 0.36732678-4.34050950e-19j]]
[[0.16129117+1.39887373e-18j 0.37512907-3.34731267e-19j]]
[[0.16343018+1.93859834e-19j 0.38781968-7.69129522e-19j]]
[[0.1487254 +5.54158179e-19j 0.40945091-2.75320695e-19j]]
[[0.26121891+1.56620485e-18j 0.35016993+1.99714396e-19j]]
[[0.14709175-1.51006587e-19j 0.38373132-2.72927710e-19j]]
[[0.29031968+2.90286837e-19j 0.32009389-5.64782157e-20j]]
[[0.25935747+2.43648777e-18j 0.36647351+1.10232862e-18j]]
[[0.24467331-9.48937932e-19j 0.36897063+9.68459824e-19j]]
[[0.2775185 +7.74380543e-19j 0.33988512+4.13589716e-18j]]
[[0.15609442+1.01941564e-18j 0.37508651+1.23193635e-18j]]
[[0.14762679+1.41460321e-18j 0.39814628+3.43215692e-19j]]
[[0.25931994+1.71915724e-18j 0.36737864+1.08905732e-18j]]
[[0.30289136+9.47067134e-19j 0.36497538-1.05776458e-18j]]
[[0.12908659-2.34834960e-19j 0.38352833+1.17612123e-18j]]
[[0.16487469-7.46176729e-19j 0.37421214-4.44479543e-19j]]
