Weights
[[-0.11901549+0.j  0.46054702+0.j]]
[[-0.15957079+0.j  0.44298275+0.j]]
[[-0.12323277+0.j  0.45127489+0.j]]
[[-0.1539912 +0.j  0.42461683+0.j]]
[[-0.19561759+0.j  0.4244951 +0.j]]
[[-0.12238867+0.j  0.44306474+0.j]]
[[-0.16401157+0.j  0.39325335+0.j]]
[[-0.17475275+0.j  0.43889379+0.j]]
[[-0.13191781+0.j  0.43839032+0.j]]
[[-0.16465658+0.j  0.38630979+0.j]]
[[-0.17236145+0.j  0.44750935+0.j]]
[[-0.14127243+0.j  0.45533082+0.j]]
[[-0.14420612+0.j  0.39451145+0.j]]
[[-0.18687726+0.j  0.4538668 +0.j]]
[[-0.16844059+0.j  0.40733887+0.j]]
[[-0.13883115+0.j  0.40308138+0.j]]
[[-0.13185987+0.j  0.42843672+0.j]]
[[-0.14956901+0.j  0.49619054+0.j]]
[[-0.14314984+0.j  0.42650264+0.j]]
[[-0.16974564+0.j  0.45259737+0.j]]
[[-0.12201468+0.j  0.40096326+0.j]]
[[-0.16389134+0.j  0.44747443+0.j]]
[[-0.18844595+0.j  0.4372699 +0.j]]
[[-0.13340834+0.j  0.39879606+0.j]]
[[-0.10281457+0.j  0.40416764+0.j]]
[[-0.1284772 +0.j  0.45173622+0.j]]
[[-0.16234034+0.j  0.44080653+0.j]]
[[-0.07928638+0.j  0.43583327+0.j]]
[[-0.17697309+0.j  0.43219755+0.j]]
[[-0.11053144+0.j  0.39844596+0.j]]
