Weights
[[-0.41723996-6.23874102e-20j  0.75357805-4.48862267e-20j]]
[[-0.43514765+3.82251812e-19j  0.74049518+1.09212570e-19j]]
[[-0.40497021-4.04081466e-19j  0.74661592+2.93928355e-19j]]
[[-0.69586021+4.17157040e-19j  0.88648668-9.56665172e-19j]]
[[-1.11305647-3.37693546e-18j  1.00350463-1.30964566e-18j]]
[[-0.66096666+3.04233768e-19j  0.88876907-1.02979466e-18j]]
[[-0.85514382+1.14062770e-18j  0.92201018-1.22213925e-19j]]
[[-0.6735934 -3.06457048e-19j  0.91038484-9.08461541e-19j]]
[[-0.67190155+5.17200859e-19j  0.93056723+1.99629572e-19j]]
[[-0.70834021+6.59996054e-19j  0.87521689-1.78729822e-19j]]
[[-0.71992615-5.01846435e-19j  0.92800821-6.28422427e-19j]]
[[-0.42006734+1.96824320e-19j  0.75590084-4.88695671e-19j]]
[[-0.69744024+3.96458566e-19j  0.86129917+1.60391324e-19j]]
[[-0.44060705-2.35954060e-19j  0.74632382+2.17417047e-19j]]
[[-0.44243369-8.33926479e-20j  0.73739944-1.78137164e-19j]]
[[-0.6908345 +4.27639721e-19j  0.87437924-4.59257500e-19j]]
[[-0.67308455-2.25587539e-19j  0.89371288+1.67300776e-19j]]
[[-0.64614935-1.86041895e-19j  0.95670229-9.09469431e-19j]]
[[-0.64309896-2.91342965e-19j  0.8840885 -6.89391912e-19j]]
[[-0.84253569-3.40622097e-19j  0.97525798-1.13298674e-18j]]
[[-0.42893266+2.37290580e-19j  0.71321311-2.76600262e-19j]]
[[-0.70580281+7.55176437e-19j  0.91125701-3.72952276e-19j]]
[[-1.11301075-2.29243972e-18j  1.04979166+1.76597819e-18j]]
[[-0.62111139-2.33892959e-19j  0.85144643-9.24171429e-19j]]
[[-0.36642336+1.84686381e-20j  0.74048452-2.36776693e-19j]]
[[-0.67342949-2.58894369e-19j  0.90177947-7.06374399e-19j]]
[[-0.412643  -1.49875565e-19j  0.75482727+2.64337850e-19j]]
[[-0.38089586-4.48290460e-19j  0.7517204 -4.62958044e-19j]]
[[-1.10961858-1.24636895e-18j  1.03705389+3.10664127e-18j]]
[[-0.38946899-7.63204771e-20j  0.74463811-7.56555200e-19j]]
