Weights
[[-0.09164718-4.18333129e-19j  0.48893832+2.77881054e-18j]]
[[-0.09373846+7.68932653e-18j  0.70372706+8.08507406e-19j]]
[[-0.05856966+1.36723213e-17j  0.89703619+1.30962277e-17j]]
[[-0.0874431 +9.89693973e-18j  0.68625721-2.37865980e-18j]]
[[-0.08992073+7.98761382e-18j  0.7019925 -2.75267091e-18j]]
[[-0.10043911+1.19891790e-18j  0.55287912+2.37907327e-18j]]
[[-0.09788601+5.41488088e-19j  0.55986376+3.89593064e-18j]]
[[-0.09480024+3.14768835e-18j  0.54879248+5.03386411e-18j]]
[[-0.08887448+1.26481778e-17j  0.73042003+2.64891942e-18j]]
[[-0.06791526+1.25822167e-17j  0.82527849+1.04080557e-16j]]
[[-0.08590138+4.87291361e-18j  0.72722352+4.33845072e-18j]]
[[-0.10354039+8.55900095e-20j  0.48428064+3.69194670e-18j]]
[[-0.08698561+2.10876776e-18j  0.53669839+2.72931795e-18j]]
[[-0.09509695+1.22330712e-18j  0.47648068+4.23150240e-18j]]
[[-0.06450848+9.47573702e-18j  0.87181094+2.87156771e-17j]]
[[-0.1040637 -1.67422483e-18j  0.46672317+2.61690519e-18j]]
[[-0.08599945+1.05763022e-17j  0.71971278-9.83530332e-19j]]
[[-0.08964009+7.32218674e-18j  0.73104362+1.82327717e-18j]]
[[-0.07274294+9.30083070e-18j  0.80935327+1.52505829e-17j]]
[[-0.08006741+1.86517527e-18j  0.72034514+1.02640573e-18j]]
[[-0.07477699+1.10192932e-17j  0.81090664+1.56291712e-17j]]
[[-0.10103677-2.23015910e-19j  0.45603549+1.79090068e-18j]]
[[-0.0772026 +5.41299560e-18j  0.50184639+2.89398442e-18j]]
[[-0.0862409+9.49509551e-18j  0.7196154+3.58469258e-20j]]
[[-0.08505759+9.71226354e-18j  0.72820794+7.60446837e-19j]]
[[-0.10170641+3.69971442e-18j  0.64637418+3.49286917e-18j]]
[[-0.07585608+7.30759722e-18j  0.6413658 +8.76121022e-19j]]
[[-0.09214447+8.44431409e-18j  0.70064797+3.57139443e-18j]]
[[-0.1092607 +1.59358367e-18j  0.48780972+2.54961459e-18j]]
[[-0.08763442+9.71559668e-18j  0.71630637+7.84161919e-19j]]
