Weights
[[-0.16350644+1.22480233e-19j  0.38531471+2.92080267e-18j]]
[[-0.21010526+1.59394934e-19j  0.32247438+2.67245620e-18j]]
[[-0.12731834+2.84158438e-18j  0.35438295+9.41684417e-19j]]
[[-0.19965831+7.50957805e-19j  0.3151349 +9.49145281e-19j]]
[[-0.21792696-3.7683095e-18j  0.3218373 +5.1956109e-18j]]
[[-0.17240221+5.11098525e-18j  0.34127163+1.36119490e-18j]]
[[-0.2097754 +2.61707294e-18j  0.32201611+1.28350930e-18j]]
[[-0.17500988+1.86763810e-18j  0.34084325+4.70763234e-18j]]
[[-0.19957473+2.92802590e-18j  0.32200692+3.11559183e-18j]]
[[-0.13101799+3.39107413e-18j  0.35813205+2.80076003e-19j]]
[[-0.24148191-7.48348928e-19j  0.32299323-3.11179232e-18j]]
[[-0.2230943 +2.10600627e-18j  0.32175296+7.08064907e-18j]]
[[-0.18196701+2.86446559e-18j  0.33741766-5.35323269e-19j]]
[[-0.20770372+7.53159060e-18j  0.32232172+6.64107604e-18j]]
[[-0.16394873+2.38013481e-18j  0.34405883+1.97181065e-18j]]
[[-0.1773028 -1.06052948e-18j  0.33511477+3.37065322e-18j]]
[[-0.18985973+1.72861766e-18j  0.33735004+2.49915710e-18j]]
[[-0.0668258 +1.02575234e-17j  0.39877638+4.70806788e-18j]]
[[-0.20528486+7.57912566e-18j  0.32244299+9.49136004e-18j]]
[[-0.16696971+2.24809223e-18j  0.34231371+1.35314525e-18j]]
[[-0.12032757+3.18620456e-18j  0.35699964+2.45775201e-18j]]
[[-0.17347537+3.22525234e-18j  0.33604536+1.88056196e-18j]]
[[-0.16266065+2.57678074e-18j  0.37349879+1.86512570e-18j]]
[[-0.18138147-7.99596536e-19j  0.33323766+1.60203385e-18j]]
[[-0.19290047+1.28354728e-18j  0.32133516+4.38848647e-18j]]
[[-0.19382467+2.75185059e-18j  0.35515403+8.29225265e-19j]]
[[-0.16356099+2.13211593e-18j  0.33807112+3.24075278e-18j]]
[[-0.32826919-8.46172192e-18j  0.1921532 +1.29575904e-19j]]
[[-0.19345569+1.95155837e-18j  0.34032347+2.72377422e-18j]]
[[-0.22340778-2.06704063e-17j  0.32002222+1.96719159e-17j]]
