Weights
[[-0.16368496+2.04722054e-18j  0.38533002+5.50409982e-19j]]
[[-0.20917725-9.07218127e-20j  0.32179216-6.98826644e-19j]]
[[-0.16512832+1.59168557e-17j  0.33746024-1.33906414e-18j]]
[[-0.19982653+3.31812356e-18j  0.31512402+3.15632248e-18j]]
[[-0.21808985-4.01280291e-18j  0.32306896+3.30045155e-18j]]
[[-0.1790656 +2.39655935e-18j  0.35004395+5.18789651e-19j]]
[[-0.20912351+4.95682963e-18j  0.32195387+6.54470532e-18j]]
[[-0.17515312+6.25271453e-20j  0.34070065+2.96311590e-18j]]
[[-0.19977162-3.02746697e-18j  0.32182296+3.72030251e-18j]]
[[-0.10679402+3.51430216e-18j  0.337556  +4.12364171e-18j]]
[[-0.24149352-1.76961160e-18j  0.32300024+1.02835996e-17j]]
[[-0.22082323+3.13147227e-18j  0.32218984+3.54951612e-18j]]
[[-0.18333609-1.37381492e-18j  0.33660166-2.19612380e-19j]]
[[-0.19739128+7.13303884e-18j  0.32389043+2.53922171e-18j]]
[[-0.15739359+1.16779659e-18j  0.34304901+1.24882660e-18j]]
[[-0.17816969+9.27288517e-19j  0.33977625+2.66150857e-18j]]
[[-0.32489624+3.32475199e-19j  0.31743044-8.13910251e-18j]]
[[-0.0675536 +5.49642662e-18j  0.39651218+2.31821451e-18j]]
[[-0.20541454+3.57966738e-17j  0.32236513+4.06718897e-17j]]
[[-0.1651843 +5.72521852e-18j  0.33761972+1.07337472e-18j]]
[[0.06181728+1.16769878e-17j 0.52833109-3.73398840e-18j]]
[[-0.17293237+2.45950998e-18j  0.33607041-3.57106647e-18j]]
[[-0.16255753-2.17708232e-19j  0.37346886-2.36960493e-19j]]
[[-0.1791009+2.03829649e-18j  0.3322379-1.16214471e-18j]]
[[-0.19268839-8.55218812e-19j  0.32128483+3.35431740e-18j]]
[[-0.19366586+6.01489096e-18j  0.35521876+4.25440752e-19j]]
[[-0.16390387+1.28048685e-18j  0.33814873+2.86993179e-18j]]
[[-0.32779434-1.51586283e-17j  0.19217964-1.08163053e-17j]]
[[-0.32666295+3.42399902e-18j  0.31279566+1.76370689e-17j]]
[[-0.17527765-1.33787098e-18j  0.33996539-3.66724028e-19j]]
