Modelo,Media_Accuracy,Max_Accuracy,Min_Accuracy,Std_Accuracy
IQC_Angle_Coluna,0.50000,0.50000,0.50000,0.00000
IQC_Angle_Linha,0.50000,0.50000,0.50000,0.00000
IQCpQ_tgt2_Coluna,0.48911,0.50333,0.47667,0.00711
IQCpQ_tgt2_Linha,0.48511,0.50000,0.46333,0.00856
IQCNDsE_Linha,0.48444,0.50333,0.46333,0.01095
IQCNDsE_Coluna,0.48400,0.50000,0.46000,0.01159
IQC_Linha,0.47500,0.49000,0.46000,0.01064
IQC_AIL_Linha,0.47500,0.49000,0.46000,0.01064
IQC_AIL_Coluna,0.47278,0.50000,0.45667,0.01135
IQC_Coluna,0.47278,0.50000,0.45667,0.01135
