Modelo,Media_F1_Scores,Max_F1_Scores,Min_F1_Scores,Std_F1_Scores
IQCNDsE_Linha,0.37854,0.41870,0.34327,0.02143
IQCNDsE_Coluna,0.37654,0.41014,0.33091,0.02196
IQC_AIL_Linha,0.37471,0.40972,0.33518,0.01565
IQC_Linha,0.37471,0.40972,0.33518,0.01565
IQC_Coluna,0.37334,0.43109,0.33462,0.01997
IQC_AIL_Coluna,0.37334,0.43109,0.33462,0.01997
IQCpQ_tgt2_Coluna,0.35190,0.38269,0.32886,0.01119
IQCpQ_tgt2_Linha,0.34860,0.37323,0.32664,0.01098
IQC_Angle_Linha,0.33333,0.33333,0.33333,0.00000
IQC_Angle_Coluna,0.33333,0.33333,0.33333,0.00000
