Modelo,Media_Accuracy,Max_Accuracy,Min_Accuracy,Std_Accuracy,Media_F1_Scores,Max_F1_Scores,Min_F1_Scores,Std_F1_Scores
IQCNDsE_Coluna,0.48400,0.50000,0.46000,0.01159,0.37654,0.41014,0.33091,0.02196
IQCNDsE_Linha,0.48444,0.50333,0.46333,0.01095,0.37854,0.41870,0.34327,0.02143
IQCpQ_tgt2_Coluna,0.48911,0.50333,0.47667,0.00711,0.35190,0.38269,0.32886,0.01119
IQCpQ_tgt2_Linha,0.48511,0.50000,0.46333,0.00856,0.34860,0.37323,0.32664,0.01098
IQC_AIL_Coluna,0.47278,0.50000,0.45667,0.01135,0.37334,0.43109,0.33462,0.01997
IQC_AIL_Linha,0.47500,0.49000,0.46000,0.01064,0.37471,0.40972,0.33518,0.01565
IQC_Angle_Coluna,0.50000,0.50000,0.50000,0.00000,0.33333,0.33333,0.33333,0.00000
IQC_Angle_Linha,0.50000,0.50000,0.50000,0.00000,0.33333,0.33333,0.33333,0.00000
IQC_Coluna,0.47278,0.50000,0.45667,0.01135,0.37334,0.43109,0.33462,0.01997
IQC_Linha,0.47500,0.49000,0.46000,0.01064,0.37471,0.40972,0.33518,0.01565
