Modelo,Media_Accuracy,Max_Accuracy,Min_Accuracy,Std_Accuracy
IQC_Angle_Coluna,0.5,0.5,0.5,0.0
IQC_Angle_Linha,0.5,0.5,0.5,0.0
IQCpQ_tgt2_Coluna,0.48911111111111105,0.5033333333333333,0.4766666666666667,0.007107997402598781
IQCpQ_tgt2_Linha,0.4851111111111111,0.5,0.4633333333333334,0.008564979633221356
IQCNDsE_Linha,0.48444444444444446,0.5033333333333333,0.4633333333333334,0.010945120270088045
IQCNDsE_Coluna,0.48400000000000004,0.5,0.4599999999999999,0.011593365786871373
IQC_Linha,0.475,0.49,0.4599999999999999,0.01064041309370071
IQC_AIL_Linha,0.475,0.49,0.4599999999999999,0.01064041309370071
IQC_AIL_Coluna,0.4727777777777778,0.5,0.4566666666666667,0.011348986260645339
IQC_Coluna,0.4727777777777778,0.5,0.4566666666666667,0.011348986260645339
