Weights
[[0.16177704-1.68040596e-18j 0.39452528+4.62700535e-19j]]
[[0.13820278+9.26906971e-19j 0.39675564+8.66893636e-20j]]
[[0.27643338+1.45168878e-21j 0.37417164-4.71835220e-20j]]
[[0.13253118+7.02766891e-19j 0.37250886-2.12801039e-19j]]
[[0.11327967-2.68859001e-19j 0.37512494-3.81618765e-19j]]
[[0.16149473-3.69995492e-19j 0.38236533+7.07390486e-19j]]
[[0.26584217+1.47283060e-18j 0.33664084-8.66462843e-20j]]
[[0.14222653-6.45038262e-19j 0.38984093+4.58823297e-19j]]
[[0.28409857-2.56544785e-19j 0.36481493+1.79274965e-18j]]
[[0.26704973-6.21145092e-19j 0.33507879+2.50032177e-18j]]
[[0.1276357 +7.46415735e-19j 0.39640047+1.42742035e-18j]]
[[0.16262518-3.01468975e-19j 0.38481191+6.33853555e-19j]]
[[0.15574676-1.17690675e-19j 0.3752441 +8.35014791e-19j]]
[[0.24574395-7.75676095e-20j 0.36503798-1.74512200e-18j]]
[[0.14342189+4.40624396e-19j 0.36749172-8.30787160e-19j]]
[[0.2819374 +2.08575096e-18j 0.34215772+6.10171560e-19j]]
[[0.15759315+7.29074754e-19j 0.39067783+2.43519513e-19j]]
[[0.14948076+5.35856979e-19j 0.40969381-2.80590439e-19j]]
[[0.26107032+7.91548322e-20j 0.35017389-1.14134481e-19j]]
[[0.14581533-6.46771736e-19j 0.38340572-1.16422389e-19j]]
[[0.29244901+2.84285141e-18j 0.31889019-4.11787463e-19j]]
[[0.25784053-3.64660411e-19j 0.3664977 +2.29214623e-18j]]
[[0.24426145+3.93655871e-19j 0.36901209+8.89518950e-19j]]
[[0.27688228-2.21434786e-19j 0.33945528+1.46682369e-19j]]
[[0.15537463+1.40059584e-19j 0.37491222+1.02910957e-18j]]
[[0.14699106+4.23816509e-19j 0.39795812+1.02841586e-19j]]
[[0.26032449+2.30109231e-18j 0.36731731-8.59454756e-20j]]
[[0.3045806 -5.12598855e-19j 0.36385793+2.07228495e-18j]]
[[0.24157822-8.50734203e-19j 0.36072114+3.59018200e-18j]]
[[0.16341642+1.54351544e-18j 0.37385359+8.36884380e-19j]]
