Weights
[[-0.11904669+0.j  0.46057667+0.j]]
[[-0.15956958+0.j  0.44304631+0.j]]
[[-0.12328886+0.j  0.45127018+0.j]]
[[-0.15399576+0.j  0.42459338+0.j]]
[[-0.19547134+0.j  0.4243858 +0.j]]
[[-0.12206654+0.j  0.44274585+0.j]]
[[-0.16395918+0.j  0.39343083+0.j]]
[[-0.17465364+0.j  0.43890592+0.j]]
[[-0.13189346+0.j  0.43842216+0.j]]
[[-0.1647254 +0.j  0.38660139+0.j]]
[[-0.17236104+0.j  0.44750866+0.j]]
[[-0.14123264+0.j  0.45549912+0.j]]
[[-0.14419567+0.j  0.3948534 +0.j]]
[[-0.18710164+0.j  0.45405806+0.j]]
[[-0.16833372+0.j  0.40730625+0.j]]
[[-0.13882642+0.j  0.40304887+0.j]]
[[-0.13172374+0.j  0.42841963+0.j]]
[[-0.14956894+0.j  0.49627688+0.j]]
[[-0.1431421 +0.j  0.42652594+0.j]]
[[-0.1697126 +0.j  0.45233848+0.j]]
[[-0.12199125+0.j  0.40104801+0.j]]
[[-0.16415296+0.j  0.44758824+0.j]]
[[-0.18852288+0.j  0.43729392+0.j]]
[[-0.13293844+0.j  0.39932595+0.j]]
[[-0.10270896+0.j  0.40424614+0.j]]
[[-0.12845612+0.j  0.4517538 +0.j]]
[[-0.16220632+0.j  0.44074419+0.j]]
[[-0.07904827+0.j  0.43601967+0.j]]
[[-0.17737347+0.j  0.43226391+0.j]]
[[-0.11045611+0.j  0.39859626+0.j]]
