Weights
[[-0.6621043 +3.00970275e-19j  0.92745291-4.81554019e-19j]]
[[-0.43474395-3.96020628e-19j  0.74123493-7.82697729e-20j]]
[[-0.40524045+2.70093732e-19j  0.7460907 -3.43853813e-20j]]
[[-0.69661094+7.66449642e-19j  0.88573679-1.00624038e-18j]]
[[-1.10806434-2.34438639e-18j  1.0058209 +1.52647373e-19j]]
[[-0.81511934+1.60311809e-19j  0.97563414-1.33065514e-18j]]
[[-0.85483123+1.02934318e-18j  0.92111479-1.60439463e-18j]]
[[-0.68073138-5.97298785e-19j  0.90785147+1.42244346e-19j]]
[[-0.66899061+9.19173653e-19j  0.92816105-1.37847165e-19j]]
[[-0.6960023 -5.27370086e-19j  0.87030146-7.95828364e-19j]]
[[-0.7199454 -8.10534349e-19j  0.92798789-7.16588598e-19j]]
[[-0.68118018+2.4990228e-19j  0.91863423-4.2770330e-19j]]
[[-0.69228543+1.36524150e-18j  0.8601159 -2.44532352e-19j]]
[[-0.43913634+1.43767774e-19j  0.74844383-5.68731460e-19j]]
[[-0.44288275-1.16376241e-19j  0.73674493-8.83438373e-19j]]
[[-0.68809844+3.71568493e-19j  0.87763093-2.45187644e-20j]]
[[-0.66669679+8.76107168e-19j  0.89415909-1.16167064e-18j]]
[[-0.38789484-4.10337376e-19j  0.77151329-2.77549469e-20j]]
[[-0.64288459+1.90062846e-19j  0.88435087-9.35026758e-19j]]
[[-1.09400799+1.02880778e-18j  1.06370459+4.05823909e-18j]]
[[-0.42838461-3.05125198e-19j  0.71411329-2.50863253e-19j]]
[[-1.09273066-9.20375975e-18j  1.0683993 +1.73189007e-17j]]
[[-1.1134734 -1.37642949e-18j  1.04938086+3.05003634e-18j]]
[[-0.36568127-8.34080216e-19j  0.72759175+5.88974655e-20j]]
[[-0.36611967-1.06153139e-19j  0.74136668-2.17300721e-19j]]
[[-0.41411371+6.20206681e-21j  0.72951481-4.99720313e-19j]]
[[-0.68514764+5.51437036e-19j  0.90681644-8.27757337e-19j]]
[[-0.36006143-8.52908191e-19j  0.75822702+1.11048854e-19j]]
[[-1.1160289 -9.64024497e-19j  1.03333575+2.48248326e-18j]]
[[-0.38869513-6.50165932e-19j  0.74654656-4.79142215e-19j]]
