Weights
[[-0.07537481+8.03508777e-19j  0.54250286+3.51660467e-18j]]
[[-0.10150158-7.58051478e-19j  0.64686008+1.46163084e-18j]]
[[-0.05878815+3.40256254e-18j  0.89485189+2.23783735e-17j]]
[[-0.08380563+1.18783154e-17j  0.74077008-9.14865477e-19j]]
[[-0.09560516+1.10264187e-18j  0.56579378+2.22330309e-18j]]
[[-0.08660665+3.15317941e-18j  0.72045401+3.61617633e-18j]]
[[-0.10558859+2.45564108e-18j  0.47141119+3.37522726e-18j]]
[[-0.09471948+1.29118368e-18j  0.54376962+1.11198647e-18j]]
[[-0.09025423+7.34420607e-18j  0.71747244-4.24981952e-18j]]
[[-0.06699811+1.33749959e-17j  0.82159608+8.62346251e-17j]]
[[-0.08566986+1.51012826e-17j  0.72724686+4.71671597e-18j]]
[[-0.10940753+5.61759750e-19j  0.48576795+3.64966411e-18j]]
[[-0.0744743 +6.71510630e-18j  0.78794702+7.48918658e-18j]]
[[-0.11157167+1.95281216e-18j  0.45624201+3.75864087e-18j]]
[[-0.06460769+9.50465689e-18j  0.87841307+3.67789136e-17j]]
[[-0.10475926-1.51033280e-18j  0.46665046+1.65292065e-18j]]
[[-0.07405938+2.16734331e-17j  0.78442784+1.99327094e-17j]]
[[-0.08759335+8.37190629e-18j  0.73148559-1.32199561e-18j]]
[[-0.07118591+5.18708318e-18j  0.80004899+9.41805681e-18j]]
[[-0.09356023+2.56737359e-18j  0.52911068+2.37565162e-18j]]
[[-0.07650745+8.52570202e-18j  0.8055458 +1.51289088e-17j]]
[[-0.09367483-4.05136903e-19j  0.45514256+3.53400347e-18j]]
[[-0.08940512+3.47519565e-18j  0.45726183+2.52564249e-18j]]
[[-0.08655123+7.24818919e-18j  0.69780685-3.27058928e-18j]]
[[-0.08670615+1.08888125e-17j  0.71079789-3.30486940e-18j]]
[[-0.08764423+4.46442172e-18j  0.7266428 +1.21806514e-18j]]
[[-0.12177518+2.26606078e-19j  0.4435682 +2.12113303e-18j]]
[[-0.08974889+9.33623583e-18j  0.71110327-6.21556342e-19j]]
[[-0.11908085-1.43391583e-18j  0.47181792+1.67448535e-18j]]
[[-0.08889342+1.35821722e-17j  0.71878805+8.83250634e-19j]]
