Weights
"[[-1.19034308-2.63180763e-19j  2.82553102+8.69869165e-19j
  -4.88259613-1.52075143e-18j -3.12642674-9.58881444e-19j]]"
"[[-1.22250906-2.32591966e-19j  2.85943546+8.01186779e-19j
  -4.98128501-1.17681113e-18j -3.13966516-8.03874582e-19j]]"
"[[-1.23722262-5.49610906e-19j  2.82685539+1.24606327e-18j
  -4.93525104-2.14473776e-18j -3.12422347-1.49944790e-18j]]"
"[[-1.22154715-6.92830638e-19j  2.83504111+1.56736681e-18j
  -4.94553709-2.59607845e-18j -3.13016285-2.01222396e-18j]]"
"[[-1.19094022-4.82745441e-19j  2.85294809+1.41649846e-18j
  -4.85071141-2.27037353e-18j -3.12315274-1.68631954e-18j]]"
"[[-1.17237069-4.90164711e-19j  2.81650965+1.46750910e-18j
  -4.87216714-2.44317267e-18j -3.04385709-1.82272496e-18j]]"
"[[-1.23753067-7.33481068e-19j  2.84321189+1.60632265e-18j
  -4.95898222-2.89333258e-18j -3.12216266-2.02969847e-18j]]"
"[[-1.19500975-6.41022703e-19j  2.8257544 +1.43372079e-18j
  -4.94379995-2.50153636e-18j -3.09026022-1.87825861e-18j]]"
"[[-1.21022722-5.59914625e-19j  2.81895216+1.34659978e-18j
  -4.92178643-2.36493552e-18j -3.11835328-1.77055090e-18j]]"
"[[-1.16475324-6.00158632e-19j  2.79858509+1.60326892e-18j
  -4.89189293-2.72128150e-18j -3.08816878-1.85696961e-18j]]"
"[[-1.20012054-7.37382337e-19j  2.85195523+1.72032851e-18j
  -4.86506501-2.65097955e-18j -3.12151222-1.88347244e-18j]]"
"[[-1.18282817-7.47085336e-19j  2.82091862+1.68304492e-18j
  -4.91586948-2.87551532e-18j -3.07119781-2.11367400e-18j]]"
"[[-1.17511992-7.26716282e-19j  2.79952595+1.87020083e-18j
  -4.90378853-3.18269924e-18j -3.09669187-2.24292746e-18j]]"
"[[-1.16410921-3.63990199e-19j  2.83859815+1.26458390e-18j
  -4.84538023-2.01145363e-18j -3.11067618-1.33527607e-18j]]"
"[[-1.22642423-4.62422258e-19j  2.8666871 +9.36933196e-19j
  -4.90628863-1.58631088e-18j -3.1362291 -1.10736290e-18j]]"
"[[-1.26086268-3.74432826e-19j  2.84538743+9.72338214e-19j
  -4.96444747-1.75259045e-18j -3.19820893-1.24809252e-18j]]"
"[[-1.17069085-3.80614753e-19j  2.81504547+8.48373004e-19j
  -4.91633347-1.36151508e-18j -3.11947713-1.09326007e-18j]]"
"[[-1.20998475-4.61139719e-19j  2.8656196 +9.92154650e-19j
  -4.96633667-1.74257532e-18j -3.14895281-1.46868230e-18j]]"
"[[-1.21231436-4.85065435e-19j  2.82303   +1.10913051e-18j
  -4.95172659-2.06858854e-18j -3.20823552-1.47912186e-18j]]"
"[[-1.22339907-6.22216023e-19j  2.84917384+1.22072919e-18j
  -4.91962582-2.25365894e-18j -3.11124932-1.64002687e-18j]]"
"[[-1.1882077 -8.21820482e-19j  2.84107324+2.07914653e-18j
  -4.90193289-3.36213541e-18j -3.08234944-2.55359124e-18j]]"
"[[-1.19743654-4.14324694e-19j  2.84377642+1.25451155e-18j
  -4.92603766-2.00393509e-18j -3.07305929-1.52064240e-18j]]"
"[[-1.18525125-1.00989669e-18j  2.79657345+2.37136918e-18j
  -4.91282293-3.96282686e-18j -3.15312365-2.64809797e-18j]]"
"[[-1.18335767-4.11888069e-19j  2.85526584+1.08403356e-18j
  -4.89153865-1.74475356e-18j -3.09856412-1.31616922e-18j]]"
"[[-1.21480442-4.94970220e-19j  2.84855485+1.24347705e-18j
  -4.95486411-2.11778867e-18j -3.07883342-1.62139302e-18j]]"
"[[-1.23353016-5.61707419e-19j  2.84205772+1.23344324e-18j
  -5.01916322-2.10666760e-18j -3.13814696-1.36907240e-18j]]"
"[[-1.20306927-6.12478296e-19j  2.84808244+1.56450599e-18j
  -4.86025262-2.65651453e-18j -3.12917952-1.96460400e-18j]]"
"[[-1.23573637-6.67403490e-19j  2.83977839+1.45152755e-18j
  -4.95652371-2.45626998e-18j -3.16254052-1.85839062e-18j]]"
"[[-1.22339625-6.98042279e-19j  2.85518816+1.63449687e-18j
  -4.89235352-2.62869395e-18j -3.14467561-1.89265091e-18j]]"
"[[-1.23519583-2.72254395e-19j  2.86367144+6.18228209e-19j
  -4.98482071-1.07942946e-18j -3.12521231-6.89683348e-19j]]"
