Weights
"[[ -1.56869616-1.01450751e-18j   4.54197551+2.87212207e-18j
  -10.27916964-6.05945468e-18j  -4.03144885-2.28008602e-18j]]"
"[[ -1.58579516-1.02103229e-18j   4.57458187+2.87043576e-18j
  -10.4242042 -6.34016580e-18j  -4.00218215-2.45523453e-18j]]"
"[[ -1.65493799-1.12865663e-18j   4.61167345+3.11329900e-18j
  -10.50123933-7.20350991e-18j  -4.05493915-2.89831903e-18j]]"
"[[ -1.62718935-7.08980055e-19j   4.57407298+1.87958368e-18j
  -10.4261458 -4.67117773e-18j  -4.04103808-1.72636462e-18j]]"
"[[ -1.57485938-9.19060813e-19j   4.61648982+2.58374013e-18j
  -10.30247089-5.61805059e-18j  -4.05588521-2.08998548e-18j]]"
"[[ -1.58904513-4.87826798e-19j   4.63012302+1.37797837e-18j
  -10.50495312-3.37522051e-18j  -4.00253223-1.24182162e-18j]]"
"[[ -1.6275982 -1.08567272e-18j   4.55125305+2.89036329e-18j
  -10.39414184-6.57097123e-18j  -4.01383089-2.51825774e-18j]]"
"[[ -1.56778897-7.50063979e-19j   4.5408912 +1.83475734e-18j
  -10.42254725-4.30754432e-18j  -3.99171737-1.42544103e-18j]]"
"[[ -1.6220769 -8.33158283e-19j   4.5567118 +2.26664345e-18j
  -10.38986909-5.23633851e-18j  -4.01828995-1.91069595e-18j]]"
"[[ -1.56049627-8.49120570e-19j   4.52590135+2.04082010e-18j
  -10.30916827-4.35490368e-18j  -4.00377962-1.57936975e-18j]]"
"[[ -1.6002442 -1.06476682e-18j   4.66478215+3.49694962e-18j
  -10.3525226 -7.48895476e-18j  -4.04444921-2.92721768e-18j]]"
"[[ -1.55925196-9.91670161e-19j   4.64388991+2.99864055e-18j
  -10.50196739-6.36023418e-18j  -3.97304342-2.29319973e-18j]]"
"[[ -1.55981433-7.04162685e-19j   4.53005796+2.18995706e-18j
  -10.37053688-5.07843875e-18j  -4.00592846-2.10743138e-18j]]"
"[[ -1.55957329-7.51660073e-19j   4.61445059+2.28163810e-18j
  -10.29041077-5.15565530e-18j  -4.02531917-2.26020247e-18j]]"
"[[ -1.59527601-1.38135586e-18j   4.63019984+3.73866130e-18j
  -10.3265544 -8.00595530e-18j  -4.02543407-3.18067274e-18j]]"
"[[ -1.64470777-1.20986278e-18j   4.53489736+3.21711374e-18j
  -10.33014019-6.89786882e-18j  -4.05409114-2.65573379e-18j]]"
"[[ -1.55932465-7.68685655e-19j   4.53792265+2.33307205e-18j
  -10.34373861-5.14137809e-18j  -4.02537537-2.05849486e-18j]]"
"[[ -1.59457101-1.24817876e-18j   4.63411408+3.45063047e-18j
  -10.44819827-7.45399835e-18j  -4.03150211-2.77322915e-18j]]"
"[[ -1.60174202-7.97402267e-19j   4.53636064+2.41430460e-18j
  -10.35742251-5.52536953e-18j  -4.08576033-2.22685391e-18j]]"
"[[ -1.63360507-7.36351017e-19j   4.63522271+2.22118062e-18j
  -10.41020981-4.61219435e-18j  -4.03558842-1.88754310e-18j]]"
"[[ -1.57713076-1.07933462e-18j   4.59912702+3.24076467e-18j
  -10.39648086-7.38324168e-18j  -4.0006488 -2.89077483e-18j]]"
"[[ -1.58926775-8.37202269e-19j   4.6524899 +2.45358084e-18j
  -10.51716653-5.59022963e-18j  -3.98638723-2.04985005e-18j]]"
"[[ -1.55720622-5.65586812e-19j   4.51179215+1.73546964e-18j
  -10.32222908-3.86193798e-18j  -4.04795019-1.66229102e-18j]]"
"[[ -1.57223122-1.02385083e-18j   4.63874935+2.95036094e-18j
  -10.41163904-6.47709716e-18j  -4.03891506-2.54526317e-18j]]"
"[[ -1.59907807-1.18754944e-18j   4.63660343+3.32569045e-18j
  -10.50281061-7.81102270e-18j  -3.98891106-2.94042679e-18j]]"
"[[ -1.63619033-1.00659143e-18j   4.56200939+2.84718690e-18j
  -10.57545206-6.69778594e-18j  -4.00009578-2.64110848e-18j]]"
"[[ -1.60689498-1.09315073e-18j   4.63698903+3.16642907e-18j
  -10.33296369-7.07384077e-18j  -4.05843735-2.83911956e-18j]]"
"[[ -1.63748155-1.08392724e-18j   4.57464302+2.89604202e-18j
  -10.45170725-6.31155985e-18j  -4.0600552 -2.25044287e-18j]]"
"[[ -1.62476767-5.85210772e-19j   4.64057613+1.67196577e-18j
  -10.35730753-3.12727375e-18j  -4.07309975-1.09474958e-18j]]"
"[[ -1.85887839-5.89592076e-19j   5.19003267+1.54665005e-18j
  -11.72662052-3.64891479e-18j  -4.49348013-1.39909239e-18j]]"
