Weights
"[[-33.072965  -1.44314600e-17j -14.69016276-5.99108819e-18j
  -26.62270955-1.17983511e-17j  -9.07629854-3.59115351e-18j]]"
"[[-33.08736803-9.36926747e-18j -14.71479154-3.89987408e-18j
  -26.58894349-8.16492657e-18j  -9.06453039-3.10359567e-18j]]"
"[[-0.40071976-2.16878472e-19j  0.33166614-1.36929581e-19j
  -1.18174643-1.69387947e-19j -0.45724958-7.94411746e-20j]]"
"[[-33.08347224+7.38116250e-19j -14.66634843+1.66538731e-18j
  -26.59627023+2.30593072e-18j  -9.09807555+1.51954360e-18j]]"
"[[-33.0643766 -1.12711416e-17j -14.68488009-4.85271654e-18j
  -26.62925231-9.78124820e-18j  -9.06388208-3.12943661e-18j]]"
"[[-33.07290293-1.35651086e-17j -14.67759471-6.70411996e-18j
  -26.62977212-1.04375917e-17j  -9.06242219-3.65275460e-18j]]"
"[[-0.40095482-1.78736430e-18j  0.33192794-8.46141624e-19j
  -1.18174224-1.33775380e-18j -0.45663245-4.61288974e-19j]]"
"[[-0.40184702-3.94446123e-19j  0.33158813-1.78148812e-19j
  -1.18116344-3.10970600e-19j -0.45698474-1.42854230e-19j]]"
"[[-33.09203307+7.12854175e-18j -14.65078818+2.90534080e-18j
  -26.58474234+5.69242844e-18j  -9.05927147+2.01063990e-18j]]"
"[[-33.08297033+1.28001522e-17j -14.7152533 +5.10829175e-18j
  -26.59343723+9.18677707e-18j  -9.07852827+2.46108835e-18j]]"
"[[-33.07001285+4.02098244e-18j -14.70546634+1.46176729e-18j
  -26.60006416+4.15574661e-18j  -9.09263732+1.81720006e-18j]]"
"[[-0.40135821+9.85179114e-19j  0.3314502 +4.29287187e-19j
  -1.18184003+7.57035718e-19j -0.45689518+2.05922740e-19j]]"
"[[-0.40077155+1.21684851e-18j  0.33220523+5.30055069e-19j
  -1.18158916+9.49367361e-19j -0.45693395+3.28682112e-19j]]"
"[[-0.40176825-1.11531997e-19j  0.3322145 -4.30982014e-20j
  -1.18163617-8.05577984e-20j -0.45620965-2.62969801e-20j]]"
"[[-33.08534397-1.12675683e-17j -14.68639049-4.65624163e-18j
  -26.59370876-8.90870975e-18j  -9.07430448-2.51718825e-18j]]"
"[[-0.40107184+2.02396453e-20j  0.33243958-5.63052925e-20j
  -1.1806418 +5.77917762e-20j -0.45677286+1.10355929e-20j]]"
"[[-0.40158075-6.91457913e-19j  0.33228468-3.63524879e-19j
  -1.18126467-5.71206578e-19j -0.45688128-2.50130395e-19j]]"
"[[-33.09896225+1.47355076e-17j -14.66932967+6.77331437e-18j
  -26.57922678+1.07093845e-17j  -9.1048857 +3.80599257e-18j]]"
"[[-0.40170027-2.42009641e-19j  0.33265376-6.50525438e-20j
  -1.18155865-8.06908527e-20j -0.45615965+2.92844803e-20j]]"
"[[-0.40136269-4.92225558e-19j  0.33201022-1.78214042e-19j
  -1.1821752 -3.36859337e-19j -0.45653621-9.25691953e-20j]]"
"[[-0.40090652-2.70413610e-19j  0.33190558-7.63513482e-20j
  -1.18207623-2.31137867e-19j -0.45696624-3.00598712e-20j]]"
"[[-33.10025393+2.62059256e-18j -14.64681123+1.28998266e-18j
  -26.59393674+1.72259588e-18j  -9.06981654+9.26159886e-20j]]"
"[[-0.40166575-6.73316523e-19j  0.33125722-3.14692857e-19j
  -1.18162078-5.52113314e-19j -0.45666481-1.68011857e-19j]]"
"[[-33.09093455+3.13027832e-19j -14.69438425+2.12761133e-19j
  -26.58947697-1.10937107e-18j  -9.05628862-9.89025326e-19j]]"
"[[-33.08077685-6.28585046e-18j -14.68718634-3.10255370e-18j
  -26.60621486-3.80348239e-18j  -9.0876614 -6.60286705e-19j]]"
"[[-0.40096253-6.40405999e-19j  0.33211987-2.70178841e-19j
  -1.18214944-4.86547508e-19j -0.45699967-1.71029112e-19j]]"
"[[-0.40102903-1.21444868e-20j  0.33305396-8.87743848e-21j
  -1.18162308-8.45692374e-20j -0.45656635-1.71421573e-20j]]"
"[[-0.40129068-1.81591712e-18j  0.33170629-8.81129692e-19j
  -1.1815133 -1.43192200e-18j -0.456564  -5.07441381e-19j]]"
"[[-0.40163591-7.34786089e-19j  0.33191721-4.21072054e-19j
  -1.1811089 -5.03390478e-19j -0.45683663-1.84284137e-19j]]"
"[[-0.40136849+3.28840561e-19j  0.33241455+1.85702822e-19j
  -1.18094794+2.89447667e-19j -0.45669853+1.28502149e-19j]]"
