Weights
"[[ 0.66162323+2.42720308e-19j  1.5030427 +2.37209813e-19j
  -0.651479  +1.28763545e-19j -0.22430571+6.94621088e-20j]]"
"[[ 0.66171811-3.77302681e-19j  1.50418911-4.94179351e-19j
  -0.65471209-1.57909868e-19j -0.22530164+1.17598934e-19j]]"
"[[ 0.64123779-1.76778979e-18j  1.48718755-2.32193444e-18j
  -0.66182217-6.51705621e-19j -0.2234164 -3.01418722e-19j]]"
"[[ 0.66003423-1.46325390e-19j  1.50702505-4.09482640e-19j
  -0.65842492-3.56081647e-20j -0.21994225+1.64136258e-19j]]"
"[[ 0.65959698+2.07558775e-19j  1.50853868+1.22978335e-19j
  -0.65310169+1.03336211e-19j -0.22123598+1.27331800e-19j]]"
"[[ 0.66039125-1.93040977e-18j  1.50344289-2.62108506e-18j
  -0.65347842-8.21955099e-19j -0.22442373-2.23868197e-19j]]"
"[[ 0.66119883-1.31274806e-18j  1.50416137-1.97600829e-18j
  -0.66041403-6.68760372e-19j -0.22789385-3.01416985e-19j]]"
"[[ 0.66145089+1.77733331e-18j  1.50476115+2.25358938e-18j
  -0.64664889+7.71956834e-19j -0.21976408+5.03799506e-19j]]"
"[[ 0.65566426+4.86916091e-19j  1.51020382+6.08881474e-19j
  -0.65680243+1.53755936e-19j -0.2166633 +2.23284953e-19j]]"
"[[ 0.63630739-1.08908659e-18j  1.48885915-1.51597631e-18j
  -0.6607418 -4.24774073e-19j -0.2289461 -7.87955406e-20j]]"
"[[ 0.66143694-1.24255647e-18j  1.50176092-1.79812643e-18j
  -0.65317168-6.17992151e-19j -0.22655965-4.19363558e-19j]]"
"[[ 0.66139675-2.56475970e-18j  1.50927468-3.40758582e-18j
  -0.65912163-1.20387493e-18j -0.22563998-6.29810283e-19j]]"
"[[ 0.66159651-1.02398461e-18j  1.50122579-1.15713306e-18j
  -0.65747761-5.45971051e-19j -0.22252216-2.80591398e-19j]]"
"[[ 0.65757672-1.71176218e-18j  1.50486876-2.34257775e-18j
  -0.65522782-6.70064934e-19j -0.21981879-3.02851819e-19j]]"
"[[ 0.65928066-1.75924825e-18j  1.50698921-2.38136594e-18j
  -0.6562193 -7.11221461e-19j -0.22331835-4.33938600e-20j]]"
"[[ 0.65659114-1.85518564e-18j  1.50583207-2.35346698e-18j
  -0.6577707 -7.84881608e-19j -0.23305074-1.71286985e-19j]]"
"[[ 0.66149187-1.28599400e-18j  1.50306666-1.78932127e-18j
  -0.65207172-5.34675937e-19j -0.23005209-8.55450090e-20j]]"
"[[ 0.65497815-6.51070819e-19j  1.50540934-1.01679327e-18j
  -0.65455179-3.26127662e-19j -0.226949  -9.88242074e-20j]]"
"[[ 0.65807464+1.01307525e-18j  1.5043205 +1.27872085e-18j
  -0.65508381+5.69940886e-19j -0.2184454 +5.33062287e-19j]]"
"[[ 0.65704862+7.68129747e-19j  1.50419333+1.07391085e-18j
  -0.65531581+3.49849376e-19j -0.22204408+9.69927921e-20j]]"
"[[ 0.66048438-3.36321173e-19j  1.50138584-4.40378564e-19j
  -0.65869072-1.45998664e-19j -0.220161  +1.75945245e-19j]]"
"[[ 0.65957093-2.30290228e-18j  1.50666379-2.85098060e-18j
  -0.6551388 -1.00047801e-18j -0.22795111-4.80094729e-19j]]"
"[[ 0.66410806-7.51593248e-19j  1.50564841-8.15060450e-19j
  -0.65403406-4.17477552e-19j -0.21621369-1.14381091e-19j]]"
"[[ 0.66149615-3.00185445e-19j  1.50602739-5.83947546e-19j
  -0.65470227-1.51311218e-19j -0.23047704+9.53766007e-20j]]"
"[[ 0.66329268+5.42083598e-19j  1.5046651 +7.12909612e-19j
  -0.65845384+5.14679245e-20j -0.2338124 +1.41707925e-19j]]"
"[[ 0.65988709-1.62141702e-18j  1.50665214-2.04777682e-18j
  -0.65915417-6.34731860e-19j -0.21887249-2.98935015e-19j]]"
"[[ 0.6542573 -6.69606214e-19j  1.50432751-8.46162419e-19j
  -0.65749822-3.38819973e-19j -0.22626882-1.04701403e-19j]]"
"[[ 0.66446667-2.34370939e-18j  1.50502122-2.96586973e-18j
  -0.65733269-1.02496773e-18j -0.22105624-5.23436730e-19j]]"
"[[ 0.65907641-4.64288733e-19j  1.5072588 -5.83090535e-19j
  -0.65653372-1.00519520e-19j -0.2209605 -1.49939568e-20j]]"
"[[ 0.66062104-9.77865851e-19j  1.50658733-1.22567329e-18j
  -0.65405562-5.02700930e-19j -0.22191637-1.34730760e-19j]]"
