Modelo,Media_Accuracy,Max_Accuracy,Min_Accuracy,Std_Accuracy
IQCNDsE_Linha,0.95444,0.96000,0.94000,0.00528
IQC_Coluna,0.94133,0.96000,0.92000,0.00981
IQC_AIL_Coluna,0.94111,0.95333,0.92000,0.00944
IQCNDsE_Coluna,0.93822,0.95333,0.91333,0.00958
IQCpQ_tgt2_Linha,0.88844,0.93333,0.84667,0.02469
IQC_AIL_Linha,0.87489,0.92000,0.84000,0.01397
IQC_Linha,0.87444,0.92000,0.84000,0.01445
IQCpQ_tgt2_Coluna,0.34511,0.37333,0.33333,0.00777
IQC_Angle_Linha,0.33333,0.33333,0.33333,0.00000
IQC_Angle_Coluna,0.33333,0.33333,0.33333,0.00000
