Modelo,Media_F1_Scores,Max_F1_Scores,Min_F1_Scores,Std_F1_Scores
IQCNDsE_Linha,0.95372,0.95980,0.93678,0.00556
IQC_Coluna,0.94007,0.95825,0.91891,0.01007
IQC_AIL_Coluna,0.93984,0.95293,0.91891,0.00972
IQCNDsE_Coluna,0.93633,0.95202,0.90681,0.01042
IQCpQ_tgt2_Linha,0.88042,0.93060,0.82336,0.02956
IQC_AIL_Linha,0.87387,0.92017,0.83949,0.01407
IQC_Linha,0.87336,0.92017,0.83949,0.01472
IQCpQ_tgt2_Coluna,0.18752,0.23057,0.16667,0.01287
IQC_Angle_Linha,0.16667,0.16667,0.16667,0.00000
IQC_Angle_Coluna,0.16667,0.16667,0.16667,0.00000
