Modelo,Media_Accuracy,Max_Accuracy,Min_Accuracy,Std_Accuracy,Media_F1_Scores,Max_F1_Scores,Min_F1_Scores,Std_F1_Scores
IQCNDsE_Coluna,0.93822,0.95333,0.91333,0.00958,0.93633,0.95202,0.90681,0.01042
IQCNDsE_Linha,0.95444,0.96000,0.94000,0.00528,0.95372,0.95980,0.93678,0.00556
IQCpQ_tgt2_Coluna,0.34511,0.37333,0.33333,0.00777,0.18752,0.23057,0.16667,0.01287
IQCpQ_tgt2_Linha,0.88844,0.93333,0.84667,0.02469,0.88042,0.93060,0.82336,0.02956
IQC_AIL_Coluna,0.94111,0.95333,0.92000,0.00944,0.93984,0.95293,0.91891,0.00972
IQC_AIL_Linha,0.87489,0.92000,0.84000,0.01397,0.87387,0.92017,0.83949,0.01407
IQC_Angle_Coluna,0.33333,0.33333,0.33333,0.00000,0.16667,0.16667,0.16667,0.00000
IQC_Angle_Linha,0.33333,0.33333,0.33333,0.00000,0.16667,0.16667,0.16667,0.00000
IQC_Coluna,0.94133,0.96000,0.92000,0.00981,0.94007,0.95825,0.91891,0.01007
IQC_Linha,0.87444,0.92000,0.84000,0.01445,0.87336,0.92017,0.83949,0.01472
