Modelo,Media_Accuracy,Max_Accuracy,Min_Accuracy,Std_Accuracy
IQCNDsE_Linha,0.9544444444444444,0.9600000000000002,0.94,0.0052765172925127776
IQC_Coluna,0.9413333333333334,0.9600000000000002,0.9200000000000002,0.009810464348233993
IQC_AIL_Coluna,0.9411111111111111,0.9533333333333336,0.9200000000000002,0.009441626805298137
IQCNDsE_Coluna,0.9382222222222224,0.9533333333333336,0.9133333333333334,0.009578605363788552
IQCpQ_tgt2_Linha,0.8884444444444445,0.9333333333333332,0.8466666666666665,0.024693265145590792
IQC_AIL_Linha,0.8748888888888888,0.92,0.8400000000000001,0.01397132622828868
IQC_Linha,0.8744444444444444,0.92,0.8400000000000001,0.014445917991445935
IQCpQ_tgt2_Coluna,0.34511111111111104,0.3733333333333333,0.3333333333333333,0.007767371253784973
IQC_Angle_Linha,0.3333333333333334,0.3333333333333333,0.3333333333333333,1.1292025708167404e-16
IQC_Angle_Coluna,0.3333333333333334,0.3333333333333333,0.3333333333333333,1.1292025708167404e-16
