Weights
"[[-10.33131952-1.03975388e-18j  -8.33014265-7.23332300e-19j
  -12.43421747-1.79926734e-18j -11.71258949-2.08057205e-18j]]"
"[[-13.04277474-4.01620412e-18j -10.73238909-2.66647796e-18j
  -15.40598399-4.39422929e-18j -14.64240723-3.38072218e-18j]]"
"[[-12.92803028+9.81692375e-18j -10.55387213+8.00424998e-18j
  -15.41058272+1.08303074e-17j -14.63442589+1.02481156e-17j]]"
"[[-11.82671932-1.83431839e-18j  -9.5815887 -1.78612085e-18j
  -14.15018475-2.19169493e-18j -13.36012839-2.46569923e-18j]]"
"[[-11.69989009+2.95798787e-18j  -9.48366142+2.57247118e-18j
  -13.99452566+3.37665754e-18j -13.27342418+3.40860893e-18j]]"
"[[-11.76010993+4.08006599e-18j  -9.57004977+3.62658884e-18j
  -14.01321496+4.80379707e-18j -13.29891261+5.84074240e-18j]]"
"[[-11.81341664+1.07955672e-17j  -9.6019999 +8.52578709e-18j
  -14.1088571 +1.24273726e-17j -13.37469754+1.13888803e-17j]]"
"[[-11.71839576-3.89008502e-18j  -9.52012348-3.92664512e-18j
  -13.99218643-3.52945192e-18j -13.2781386 -3.97105826e-18j]]"
"[[-11.6975607 -7.48990752e-18j  -9.44457349-6.13713137e-18j
  -13.98199531-8.21554195e-18j -13.2434835 -7.60283471e-18j]]"
"[[-11.72564098-4.52086344e-18j  -9.53700237-3.41175851e-18j
  -13.99473658-5.17912778e-18j -13.27049186-3.49844139e-18j]]"
"[[-11.7009516 -2.13284189e-18j  -9.50800724-2.02915117e-18j
  -13.99754391-1.52065544e-18j -13.30824094-1.12195036e-18j]]"
"[[-11.83406398-7.80925108e-18j  -9.61887898-7.15481420e-18j
  -14.13669605-8.95712459e-18j -13.38125627-8.54670176e-18j]]"
"[[-12.97100863-1.03494831e-17j -10.5997216 -9.30967280e-18j
  -15.40216309-1.15426989e-17j -14.61245192-1.15414337e-17j]]"
"[[-11.49917836-8.35914902e-18j  -9.31495168-6.89538317e-18j
  -13.74132781-1.01311743e-17j -13.00958928-1.07755735e-17j]]"
"[[-10.31444522-6.55986915e-19j  -8.28889374-1.60653712e-18j
  -12.44109917-8.76305513e-19j -11.72361633-1.24348224e-18j]]"
"[[ -9.98869212+2.80428660e-18j  -8.04788585+2.02998291e-18j
  -11.99831203+2.78404394e-18j -11.2719275 +2.96312490e-18j]]"
"[[-11.87634859-2.86649057e-18j  -9.65234566-2.78450844e-18j
  -14.12489439-2.94728412e-18j -13.40201763-2.31759731e-18j]]"
"[[-12.36494016-7.26008720e-18j -10.09242206-6.28184075e-18j
  -14.69177072-8.44240591e-18j -13.94883946-9.59805813e-18j]]"
"[[-11.81518372+1.61489772e-18j  -9.57644361+2.43455094e-18j
  -14.09784058+1.95240395e-18j -13.34410465+2.22265359e-18j]]"
"[[-10.33573718-1.38571071e-19j  -8.3304339 +2.58124359e-19j
  -12.41485061+4.21729688e-20j -11.70261246-6.30438304e-19j]]"
"[[-12.97114554+4.96726479e-20j -10.63663857-4.79884196e-19j
  -15.39045455-6.70623751e-19j -14.62899635-2.99817911e-18j]]"
"[[-11.71911077+1.17122007e-19j  -9.54050725-1.16487930e-19j
  -13.97649841+4.36512634e-19j -13.28381809+1.81100264e-19j]]"
"[[-11.68376905+5.20225878e-18j  -9.49827293+5.13210676e-18j
  -13.99098101+4.17737587e-18j -13.25697167+4.88505770e-18j]]"
"[[-11.77625003+5.80397004e-18j  -9.60078865+5.16942939e-18j
  -14.00014265+5.39541950e-18j -13.27392397+4.77023061e-18j]]"
"[[-11.410154  -2.55445704e-19j  -9.2921385 -8.19735505e-19j
  -13.60986528+7.65599262e-19j -12.88582513+1.28301143e-19j]]"
"[[-10.28735244+3.85752573e-18j  -8.24174458+2.70556602e-18j
  -12.4612687 +3.93819709e-18j -11.71120052+3.02331936e-18j]]"
"[[ -9.96171435-4.33002203e-18j  -7.99660116-3.05163845e-18j
  -12.0163439 -5.49598321e-18j -11.27011246-5.10956335e-18j]]"
"[[-11.8041918 +7.17632032e-18j  -9.58610723+5.39374431e-18j
  -14.11796934+8.18592017e-18j -13.3549931 +7.72513619e-18j]]"
"[[-11.82274459+2.48584839e-18j  -9.57679216+2.40625241e-18j
  -14.11013062+1.53285329e-18j -13.36513289+1.43404992e-18j]]"
"[[-11.69610676-1.13513896e-18j  -9.47020038-6.05227359e-19j
  -13.99390174-5.70884130e-19j -13.26811973-1.70297019e-19j]]"
