Weights
"[[-2.43594569-3.16524567e-18j -0.56148359-1.48513038e-18j
  -2.81717221-2.09753621e-18j -1.0072182 -5.89046045e-19j]]"
"[[-2.37631772-9.19425027e-19j -0.55952638-2.26796578e-19j
  -2.73697447-9.47165476e-19j -0.98284863-3.78648490e-19j]]"
"[[-2.43445251-2.55009918e-18j -0.57036918-7.69131544e-19j
  -2.81253573-1.95417601e-18j -1.01185331-5.59745004e-19j]]"
"[[-2.48970757+1.24862829e-18j -0.59111085+8.19736864e-19j
  -2.83571711+9.20590814e-19j -1.01409685+3.88599823e-19j]]"
"[[-2.47149195-2.54913099e-18j -0.5828523 -1.07755562e-18j
  -2.83253847-1.68246911e-18j -1.01105317-5.40386154e-19j]]"
"[[-2.49672714-1.16776502e-18j -0.6022806 -2.77092770e-19j
  -2.83495001-9.16747726e-19j -1.01171246-1.87990978e-19j]]"
"[[-2.47881426-1.48898751e-18j -0.57797738-7.63669893e-19j
  -2.8610145 -9.76841660e-19j -1.02153474-2.77271664e-19j]]"
"[[-2.52141886-1.22400356e-18j -0.61997086-4.07754808e-19j
  -2.83510854-1.19781084e-18j -1.01711438-2.56921913e-19j]]"
"[[-2.49230166-1.63147495e-18j -0.58433201-5.15368846e-19j
  -2.84825748-1.04209152e-18j -1.01746931-2.31687924e-19j]]"
"[[-2.49862224-2.08246186e-18j -0.60789987-9.26622681e-19j
  -2.83247314-1.01900976e-18j -1.01215872-2.89452450e-19j]]"
"[[-2.49522147+2.79938784e-18j -0.60758737+1.39565776e-18j
  -2.82359753+1.83087014e-18j -1.01032143+5.66193380e-19j]]"
"[[-2.43652138+5.56349675e-19j -0.54758346+2.51197470e-19j
  -2.84994578+3.94910470e-19j -1.0225731 +2.46425883e-19j]]"
"[[-2.49503245-2.03294295e-20j -0.58300541-1.27664372e-19j
  -2.86904604+5.40069508e-20j -1.02733404+4.43957925e-21j]]"
"[[-2.5205712 -5.87311628e-19j -0.61486048-1.44658969e-19j
  -2.83814218-1.12568142e-18j -1.00987102-5.25424567e-19j]]"
"[[-2.382725  -1.90235386e-18j -0.5580257 -9.49526900e-19j
  -2.74596156-1.47093048e-18j -0.98610001-6.04681485e-19j]]"
"[[-2.52638055+6.47525457e-19j -0.60975367+1.80799005e-19j
  -2.85492122+6.58458575e-19j -1.02458066+2.65498779e-19j]]"
"[[-2.4636305 -9.26571464e-19j -0.58788654-2.44116167e-19j
  -2.79960078-9.02020750e-19j -1.00426789-1.93897812e-19j]]"
"[[-2.50207844-2.40840817e-18j -0.60370137-7.51609444e-19j
  -2.83491917-1.69335820e-18j -1.01345263-4.88113154e-19j]]"
"[[-2.51959785-3.63545373e-19j -0.60351768-1.43753585e-19j
  -2.8499042 -2.21204082e-19j -1.01299982-4.86808971e-20j]]"
"[[-2.49387644+1.43154804e-20j -0.60594758+1.21113167e-19j
  -2.82622611+1.75468742e-19j -1.00655601-1.05815076e-20j]]"
"[[-2.3874877 -2.34403573e-18j -0.55076907-1.16819213e-18j
  -2.78097578-1.51537667e-18j -0.99902517-5.36272165e-19j]]"
"[[-2.3610975 +5.33591621e-18j -0.53761108+2.44710571e-18j
  -2.74505442+3.87990750e-18j -0.98516566+1.21907455e-18j]]"
"[[-2.46522053-5.03354999e-18j -0.58419404-2.57000499e-18j
  -2.83127789-3.40408919e-18j -1.01320216-1.22285051e-18j]]"
"[[-2.50974327+4.44087666e-19j -0.60735774+4.67285247e-19j
  -2.84496485+1.83242228e-19j -1.01494143+1.56804523e-19j]]"
"[[-2.46610353-2.77905472e-18j -0.58237055-1.24930223e-18j
  -2.82486889-1.91358607e-18j -1.01137802-5.49177561e-19j]]"
"[[-2.44133076+2.44356298e-18j -0.56866498+1.14794257e-18j
  -2.82101685+1.74050522e-18j -1.01115674+6.73244675e-19j]]"
"[[-2.48357894+8.02350354e-19j -0.58290534+5.54693316e-19j
  -2.84065551+4.66557119e-19j -1.01463321+1.34370048e-19j]]"
"[[-2.44726803-2.50453975e-18j -0.5682882 -1.06821980e-18j
  -2.82764838-1.64396640e-18j -1.01183125-3.61950611e-19j]]"
"[[-2.45854906-3.56428675e-18j -0.56098824-1.75222912e-18j
  -2.84349101-2.49351806e-18j -1.02112428-8.02516716e-19j]]"
"[[-2.51843479-6.16177828e-19j -0.60790986-1.77570816e-19j
  -2.84507869-5.52734366e-19j -1.01903405-2.54296869e-19j]]"
