Weights
[[0.58685388+6.38028304e-18j 0.23880526-6.20128851e-18j]]
[[0.58628879+1.87577590e-16j 0.22992536-1.00800271e-16j]]
[[0.58871155+5.59991141e-17j 0.24282648-1.99796897e-17j]]
[[0.58834771+1.52924006e-17j 0.23747252-8.28958590e-18j]]
[[0.58497808+5.00274081e-18j 0.22754383+8.16547452e-19j]]
[[0.5854302 +1.69428235e-16j 0.25076573-5.77179328e-17j]]
[[0.58552045+1.51804675e-17j 0.22881153-8.97194062e-18j]]
[[0.58677168+1.04061562e-17j 0.23580178-4.95259510e-18j]]
[[0.58534519+1.88518507e-17j 0.23162591-1.51564906e-18j]]
[[0.58565839+4.36201665e-18j 0.22919077+6.76813852e-19j]]
[[0.58546309+2.96221156e-18j 0.22596862-1.63962866e-18j]]
[[0.5893853 +3.65767904e-18j 0.24186855-2.59875898e-18j]]
[[0.58693257+1.52173726e-17j 0.2381706 -3.75741999e-18j]]
[[0.58583732+2.32997512e-17j 0.22998857-6.81643666e-18j]]
[[0.58708588+3.00539152e-17j 0.23658611-7.66246711e-18j]]
[[0.58747859+5.14484558e-18j 0.23603792-2.32114113e-18j]]
[[0.58694609+3.74187683e-17j 0.23710563-1.28093272e-17j]]
[[0.58858303+2.11905572e-16j 0.24000509-1.10318851e-16j]]
[[0.58641925+2.31357776e-17j 0.23305498-8.39477370e-18j]]
[[0.58999709+1.43032002e-16j 0.2425815 -2.19002035e-17j]]
[[0.58535679+3.39784490e-17j 0.24382211-9.62863074e-18j]]
[[0.58506565+1.09253559e-17j 0.2317689 -3.94991919e-18j]]
[[0.58539215+7.31438988e-18j 0.23226915-2.68976975e-18j]]
[[0.58794599+3.57402870e-17j 0.24321533-1.17478484e-17j]]
[[0.58564875+4.29116673e-17j 0.23547196-1.95487685e-17j]]
[[0.58569487+1.38561177e-16j 0.23842161-2.59672958e-17j]]
[[0.5874457 +2.52690612e-17j 0.23584318-2.32900216e-19j]]
[[0.58821447+1.44928272e-17j 0.23943084-9.84719461e-18j]]
[[0.58594395+5.92469343e-18j 0.22502548-3.82761782e-18j]]
[[0.58876844+1.29687569e-17j 0.23840973-1.30047313e-18j]]
