Weights
[[-0.05048376-2.89142703e-20j  0.63408741+1.93894142e-20j]]
[[-0.07310804+9.44842607e-20j  0.62325454-1.29618732e-20j]]
[[-0.06604517+2.28861366e-19j  0.63531546+1.33936215e-19j]]
[[-0.06781166+2.79030882e-19j  0.61432113+1.11623286e-19j]]
[[-0.09625906+5.76541864e-20j  0.59754521+4.47566770e-20j]]
[[-0.07167033+6.68217882e-20j  0.6352268 +2.44592225e-20j]]
[[-0.06920876+5.79571408e-20j  0.61100272+4.51491630e-20j]]
[[-0.07777478+2.46296379e-19j  0.61830068+1.25163244e-19j]]
[[-0.09205111+2.35232180e-19j  0.60816249+1.13249185e-19j]]
[[-0.06734306+1.51894675e-19j  0.61202593+1.94482155e-19j]]
[[-0.08515878-2.58688214e-20j  0.59808013+2.64197320e-20j]]
[[-0.05111558+1.85751700e-20j  0.62385003-2.61682625e-20j]]
[[-0.06310421-6.02151752e-20j  0.6220105 +1.20740229e-20j]]
[[-0.07964789+7.27345098e-21j  0.60094328+5.66156555e-20j]]
[[-0.06447447+1.85576152e-19j  0.61850437+2.25366515e-20j]]
[[-0.08448186-6.37024398e-20j  0.62350368-1.08270264e-20j]]
[[-0.05650896+1.98481045e-19j  0.63304913+6.96999616e-20j]]
[[-0.06608376+1.51452289e-19j  0.63278869-3.51799941e-20j]]
[[-0.06615481-1.30178565e-19j  0.61694358-2.57808446e-20j]]
[[-0.09427608+8.93911449e-20j  0.6203039 +5.19595333e-20j]]
[[-0.06555837+7.04693433e-20j  0.62471896+3.65780042e-20j]]
[[-0.08948679+4.63919956e-20j  0.60837394-5.52640004e-21j]]
[[-0.07026398+3.11944499e-20j  0.61415417+8.12865587e-20j]]
[[-0.07216712+1.98321405e-20j  0.62865812-4.00814332e-20j]]
[[-0.06241522-1.36752234e-20j  0.63302749-5.86203175e-20j]]
[[-0.06224624+1.89304288e-19j  0.63255433+1.56759552e-19j]]
[[-0.08221992+2.20453081e-19j  0.6148575 +1.31423915e-19j]]
[[-0.06143549-1.19622353e-19j  0.63570982-5.82418938e-20j]]
[[-0.06414661-1.49022925e-19j  0.61960321-9.01499391e-20j]]
[[-0.05436443+3.63513236e-20j  0.63685494-1.79594515e-20j]]
