Weights
[[ 0.08499579+3.76295693e-18j -1.08774748-7.75580707e-18j]]
[[-0.19037943+5.55362353e-19j -0.05271401-4.82130045e-18j]]
[[-0.17275503+2.33831526e-18j -0.05986916-3.64194197e-18j]]
[[-0.19362046-6.63292291e-19j -0.05878298-1.90561966e-18j]]
[[-0.17673892+3.72828342e-19j -0.05146773-4.63707432e-18j]]
[[-0.17119997+1.91075510e-18j -0.04906998-4.21972705e-18j]]
[[-0.18173955+1.58469097e-18j -0.06193592-2.56354384e-18j]]
[[-0.20190376+1.61528431e-18j -0.05072079-6.37866759e-18j]]
[[-0.18604764+7.51461704e-19j -0.05706831-1.62566905e-18j]]
[[-0.19745586+4.15317883e-18j -0.05584275-4.43995417e-18j]]
[[-0.17689266+2.44886765e-18j -0.055022  -4.77411985e-18j]]
[[-0.16744361+2.72585850e-18j -0.05675667-4.48753777e-19j]]
[[ 0.07360459-3.75525183e-18j -1.06182443+9.60577995e-19j]]
[[-0.19359353+9.35878978e-19j -0.05813381-3.26524698e-18j]]
[[-0.17116862+2.17479907e-18j -0.05941142-4.86741115e-18j]]
[[-0.19732793+2.32596055e-21j -0.05553222-2.17035045e-18j]]
[[ 0.09005047-6.60899243e-18j -1.29002052-6.65199079e-18j]]
[[-0.17200975+3.21588981e-18j -0.06642782-1.49774522e-18j]]
[[-0.20938294-5.18151181e-19j -0.05830026-9.32384485e-18j]]
[[ 0.08776746-5.57211052e-18j -1.06351262-4.11254612e-18j]]
[[-0.17865835-2.00131295e-18j -0.05992861-4.28725536e-18j]]
[[-0.17901855+4.49470331e-18j -0.06052228-6.66198992e-18j]]
[[-0.20917894-1.32690042e-18j -0.0699878 -7.60768599e-18j]]
[[-0.20659958+1.95917871e-18j -0.05499981-5.03203358e-18j]]
[[-0.18563636+4.56492937e-19j -0.05907424-2.27314429e-18j]]
[[ 0.09789656-2.82152044e-18j -1.29209012-8.82187597e-18j]]
[[-0.19675389-2.95343040e-18j -0.06257104-3.87490905e-18j]]
[[ 0.09800657-8.06691730e-18j -1.03925107-9.51704451e-18j]]
[[-0.18619065-1.78285347e-18j -0.05330604-2.79562305e-18j]]
[[-0.17630581+1.97466505e-18j -0.05077619-2.72579053e-18j]]
