Modelo,Media_Accuracy,Max_Accuracy,Min_Accuracy,Std_Accuracy
IQC_Linha,0.85922,0.86333,0.85333,0.00272
IQC_AIL_Linha,0.85922,0.86333,0.85333,0.00272
IQC_Coluna,0.83378,0.83667,0.83000,0.00210
IQC_AIL_Coluna,0.83378,0.83667,0.83000,0.00210
IQCNDsE_Linha,0.77256,0.79667,0.74000,0.01558
IQCNDsE_Coluna,0.77056,0.79333,0.75333,0.01132
IQCpQ_tgt2_Linha,0.61722,0.63000,0.60000,0.00753
IQCpQ_tgt2_Coluna,0.59089,0.60333,0.58000,0.00694
IQC_Angle_Linha,0.50000,0.50000,0.50000,0.00000
IQC_Angle_Coluna,0.50000,0.50000,0.50000,0.00000
