Modelo,Media_F1_Scores,Max_F1_Scores,Min_F1_Scores,Std_F1_Scores
IQC_Linha,0.85747,0.86225,0.85143,0.00290
IQC_AIL_Linha,0.85747,0.86225,0.85143,0.00290
IQC_Coluna,0.82857,0.83229,0.82383,0.00203
IQC_AIL_Coluna,0.82857,0.83229,0.82383,0.00203
IQCNDsE_Linha,0.77073,0.79554,0.73633,0.01597
IQCNDsE_Coluna,0.76904,0.79254,0.75072,0.01164
IQCpQ_tgt2_Linha,0.57809,0.59455,0.55909,0.00896
IQCpQ_tgt2_Coluna,0.55034,0.56463,0.53760,0.00765
IQC_Angle_Linha,0.33333,0.33333,0.33333,0.00000
IQC_Angle_Coluna,0.33333,0.33333,0.33333,0.00000
