Modelo,Media_Accuracy,Max_Accuracy,Min_Accuracy,Std_Accuracy,Media_F1_Scores,Max_F1_Scores,Min_F1_Scores,Std_F1_Scores
IQCNDsE_Coluna,0.77056,0.79333,0.75333,0.01132,0.76904,0.79254,0.75072,0.01164
IQCNDsE_Linha,0.77256,0.79667,0.74000,0.01558,0.77073,0.79554,0.73633,0.01597
IQCpQ_tgt2_Coluna,0.59089,0.60333,0.58000,0.00694,0.55034,0.56463,0.53760,0.00765
IQCpQ_tgt2_Linha,0.61722,0.63000,0.60000,0.00753,0.57809,0.59455,0.55909,0.00896
IQC_AIL_Coluna,0.83378,0.83667,0.83000,0.00210,0.82857,0.83229,0.82383,0.00203
IQC_AIL_Linha,0.85922,0.86333,0.85333,0.00272,0.85747,0.86225,0.85143,0.00290
IQC_Angle_Coluna,0.50000,0.50000,0.50000,0.00000,0.33333,0.33333,0.33333,0.00000
IQC_Angle_Linha,0.50000,0.50000,0.50000,0.00000,0.33333,0.33333,0.33333,0.00000
IQC_Coluna,0.83378,0.83667,0.83000,0.00210,0.82857,0.83229,0.82383,0.00203
IQC_Linha,0.85922,0.86333,0.85333,0.00272,0.85747,0.86225,0.85143,0.00290
