Weights
[[0.59685804+2.30183045e-18j 0.23191591+2.86572418e-18j]]
[[0.59095089+7.8523461e-19j 0.22495297-2.4974608e-18j]]
[[0.60562705+3.8646286e-19j 0.23906813-1.3490351e-18j]]
[[0.59816769+4.81237931e-18j 0.22658508-4.42842593e-19j]]
[[0.59192623-1.43667219e-18j 0.22422734-3.39456221e-18j]]
[[0.60786185+1.63305031e-18j 0.24506438-2.55470301e-18j]]
[[0.59503875+1.56556673e-17j 0.22504693-1.11707282e-17j]]
[[0.59548964+1.84765162e-18j 0.23226326+4.69317453e-19j]]
[[0.59382947-1.34631100e-18j 0.22593439+2.30886043e-18j]]
[[0.59887544-8.70547608e-21j 0.22871037+1.52613868e-18j]]
[[0.58679839+3.83619321e-17j 0.21552005-3.49912774e-17j]]
[[0.59774222+1.96118221e-18j 0.22729274-2.59598680e-18j]]
[[0.60173765+1.19481323e-17j 0.23419408-6.79108219e-19j]]
[[0.59247295+5.69618491e-18j 0.22033436-4.12892665e-18j]]
[[0.59902342+1.69432404e-18j 0.228334  -2.65771116e-19j]]
[[0.60055032+7.18439868e-18j 0.22872611-9.92055310e-18j]]
[[0.59945898+1.84802770e-17j 0.22709695-1.62017715e-17j]]
[[0.59764637+4.77594925e-18j 0.22953927+1.93794956e-19j]]
[[0.59129836+4.48376340e-18j 0.22018711-4.14127928e-18j]]
[[0.6085442+4.76537911e-17j 0.2340197-2.57496249e-17j]]
[[0.59584726+2.24212721e-18j 0.23684329+7.56930090e-21j]]
[[0.60260673-4.78581956e-19j 0.22926433+9.68902042e-19j]]
[[0.59469532+1.03262321e-17j 0.22783058-6.57707302e-18j]]
[[0.59136556+1.94594126e-18j 0.22949092-1.68612020e-18j]]
[[0.60047604+9.86572696e-18j 0.23266414-1.04013037e-17j]]
[[0.59018768+1.08648786e-17j 0.22966844+4.20806079e-19j]]
[[0.59844784+1.63788080e-17j 0.23063491-4.94153427e-18j]]
[[0.60099069+7.48979287e-18j 0.2282845 -5.04580831e-18j]]
[[0.59006269+2.4981854e-17j 0.21630909-2.1031116e-17j]]
[[0.60069526+1.06823249e-17j 0.22827497-7.26679399e-18j]]
