Weights
[[0.80193794+0.j 0.26894747+0.j]]
[[0.80593492+0.j 0.24385741+0.j]]
[[0.80150939+0.j 0.27517661+0.j]]
[[0.81426963+0.j 0.2216224 +0.j]]
[[0.81353981+0.j 0.17651832+0.j]]
[[0.79463231+0.j 0.26688703+0.j]]
[[0.82617787+0.j 0.22877518+0.j]]
[[0.80883242+0.j 0.23118474+0.j]]
[[0.80749069+0.j 0.21425371+0.j]]
[[0.82273808+0.j 0.23389223+0.j]]
[[0.82342831+0.j 0.19141168+0.j]]
[[0.80677205+0.j 0.2353481 +0.j]]
[[0.8152518 +0.j 0.24597819+0.j]]
[[0.81644699+0.j 0.18577655+0.j]]
[[0.80417491+0.j 0.22559769+0.j]]
[[0.79782808+0.j 0.24169798+0.j]]
[[0.79988771+0.j 0.25979093+0.j]]
[[0.79297065+0.j 0.24893494+0.j]]
[[0.81232507+0.j 0.23422016+0.j]]
[[0.79805398+0.j 0.23132591+0.j]]
[[0.80958554+0.j 0.26070225+0.j]]
[[0.81176292+0.j 0.21148655+0.j]]
[[0.8132417 +0.j 0.21504895+0.j]]
[[0.80782625+0.j 0.26784303+0.j]]
[[0.80008322+0.j 0.27048565+0.j]]
[[0.79774529+0.j 0.25320136+0.j]]
[[0.81035112+0.j 0.22924488+0.j]]
[[0.79427748+0.j 0.27207749+0.j]]
[[0.80669039+0.j 0.22383418+0.j]]
[[0.79892031+0.j 0.27943531+0.j]]
