Weights
[[0.93260288+0.j 0.3715181 +0.j]]
[[0.93879137+0.j 0.35558519+0.j]]
[[0.92377704+0.j 0.3775128 +0.j]]
[[0.94925716+0.j 0.33535825+0.j]]
[[0.94863008+0.j 0.30423022+0.j]]
[[0.92459253+0.j 0.37658895+0.j]]
[[0.95695302+0.j 0.34018323+0.j]]
[[0.93878344+0.j 0.34480799+0.j]]
[[0.93769676+0.j 0.33164455+0.j]]
[[0.94964037+0.j 0.34346571+0.j]]
[[0.96155268+0.j 0.31184587+0.j]]
[[0.93900379+0.j 0.34517895+0.j]]
[[0.9429111+0.j 0.3591004+0.j]]
[[0.94884547+0.j 0.30574429+0.j]]
[[0.93226678+0.j 0.3388962 +0.j]]
[[0.92662256+0.j 0.35725777+0.j]]
[[0.93241564+0.j 0.36861456+0.j]]
[[0.91772084+0.j 0.35650356+0.j]]
[[0.94139757+0.j 0.34567019+0.j]]
[[0.92362697+0.j 0.34629595+0.j]]
[[0.93638989+0.j 0.36721397+0.j]]
[[0.9443419 +0.j 0.32844648+0.j]]
[[0.94038085+0.j 0.3290505 +0.j]]
[[0.93387641+0.j 0.37385972+0.j]]
[[0.93077327+0.j 0.37496194+0.j]]
[[0.93193366+0.j 0.36517424+0.j]]
[[0.93690424+0.j 0.3396407 +0.j]]
[[0.92524207+0.j 0.38005939+0.j]]
[[0.94282747+0.j 0.34003366+0.j]]
[[0.92804143+0.j 0.38355099+0.j]]
