Weights
[[-0.1455945 +1.49041681e-19j  0.58656516+3.09993328e-20j]]
[[-0.15789414-1.11411105e-19j  0.57956399-5.84292086e-20j]]
[[-0.14599306-3.14993565e-20j  0.59457897-3.17665663e-20j]]
[[-0.15149599-3.75804232e-20j  0.57101214-1.60991471e-19j]]
[[-0.17694056+1.97025996e-19j  0.55932824+1.15170714e-21j]]
[[-0.16989134+5.83542631e-20j  0.58955671-4.85391164e-20j]]
[[-0.15501478-2.02549741e-19j  0.56578268-1.84414726e-19j]]
[[-0.16725474+2.68724803e-20j  0.57524647-1.08067714e-19j]]
[[-0.16798415+1.54391020e-19j  0.57230362+9.07185544e-21j]]
[[-0.16433375+1.20273617e-20j  0.56768722+6.78687185e-20j]]
[[-0.16463654-1.21563872e-20j  0.55743036-8.32577132e-20j]]
[[-0.15169711+1.44728995e-19j  0.57640492+4.50771475e-20j]]
[[-0.1642537 -2.94233304e-21j  0.57536579-1.99639543e-19j]]
[[-0.17166463+1.91256579e-19j  0.55864564-8.10984559e-20j]]
[[-0.15681899-1.20452135e-19j  0.57618537-1.67516639e-19j]]
[[-0.17917151+3.32116346e-19j  0.58114731+3.21425493e-20j]]
[[-0.15624004-6.42632177e-20j  0.58533033-6.29185122e-20j]]
[[-0.14630323-7.30430771e-20j  0.59327598+5.38129231e-20j]]
[[-0.17699778+2.51554210e-19j  0.569867  -1.32591218e-19j]]
[[-0.16007385-2.46866876e-20j  0.58515794-2.59836458e-20j]]
[[-0.16510298-2.65654703e-20j  0.5806089 -4.37617931e-21j]]
[[-0.16386367-4.97933312e-20j  0.56907918-2.54906227e-19j]]
[[-0.15564739-5.65159141e-20j  0.57405565-5.74836262e-21j]]
[[-0.16141046+3.30490253e-20j  0.5850157 +4.70937649e-20j]]
[[-0.14768444+1.80281006e-19j  0.587547  +6.93275309e-20j]]
[[-0.15643366-1.04687080e-19j  0.58535791-1.52385743e-19j]]
[[-0.16836896+8.69532362e-20j  0.57277963-1.35118595e-19j]]
[[-0.16100468-1.93704102e-19j  0.58928421-7.45430596e-20j]]
[[-0.16443669+1.17226624e-19j  0.57253421+5.39446052e-20j]]
[[-0.15043842-9.08013168e-20j  0.58956809-3.82801676e-20j]]
