Weights
[[-0.20069642+3.05829230e-18j -0.34152206-2.86075102e-18j]]
[[-0.22033328-9.78455339e-19j -0.31206051-1.94446943e-18j]]
[[-0.20335338+1.67377097e-18j -0.33763378-3.33849536e-18j]]
[[-0.20508571+2.23316520e-18j -0.32360378+8.50715748e-19j]]
[[-0.20610684+3.34497449e-18j -0.33928999-4.63060302e-19j]]
[[-0.20965335-1.04297863e-18j -0.31332074-4.72604711e-18j]]
[[-0.19976703+3.63227314e-19j -0.33443968+3.17571995e-19j]]
[[-0.21980487-1.03874926e-19j -0.31948703-1.17929159e-18j]]
[[-0.20630933+4.28122994e-18j -0.32398685-2.64654506e-18j]]
[[-0.21556173+4.93182807e-18j -0.32363162-3.08308002e-18j]]
[[-0.22055747+1.50459152e-18j -0.31895281-1.70237276e-18j]]
[[-0.19704377+2.67966982e-18j -0.33470265-5.07323488e-18j]]
[[-0.20382559+1.36358708e-18j -0.32736907-2.48251238e-18j]]
[[-0.21914533+1.07392423e-18j -0.33988708-2.81380212e-18j]]
[[-0.19424786+4.20438247e-18j -0.34585765-2.51749568e-18j]]
[[-0.21915434+1.58455109e-18j -0.31622878-5.03425218e-18j]]
[[-0.21762183+2.94460467e-18j -0.32368187-3.24239622e-18j]]
[[-0.20275612+3.64717197e-18j -0.33414353-4.77557607e-18j]]
[[-0.22495907+1.53901092e-18j -0.3478202 -1.69680262e-18j]]
[[-0.19605738+1.72968897e-18j -0.33963752-3.22504624e-18j]]
[[-0.20791474+1.42741545e-18j -0.33162552-1.21629724e-18j]]
[[-0.20479764+2.70299877e-18j -0.32617001-3.46876380e-18j]]
[[-0.21027152+3.13366410e-19j -0.33884603-5.02793134e-18j]]
[[-0.22803318+4.78175804e-18j -0.32999822-2.70690267e-18j]]
[[-0.20130775+8.82237122e-19j -0.33295087-2.14725602e-18j]]
[[-0.22374391+1.47579927e-18j -0.31911208-3.42443570e-18j]]
[[-0.20833034+2.55536721e-18j -0.33420785-1.62803855e-18j]]
[[-0.20470767+1.55982885e-18j -0.33280289-3.10079484e-18j]]
[[-0.22476693+3.01849898e-18j -0.32222877-5.68342641e-18j]]
[[-0.20590768-6.34235170e-19j -0.32564348-3.15434073e-18j]]
