Weights
[[-0.32163947+3.64546792e-18j -0.17802242-1.36255953e-18j]]
[[-0.25669555+3.11550271e-18j -0.31217601-5.90510274e-20j]]
[[-0.31502329+6.32746795e-18j -0.17864403-2.33007689e-18j]]
[[-0.22930618+5.81956048e-18j -0.33720172-2.56123568e-18j]]
[[-0.23924548+3.38129805e-18j -0.33830908-3.22623607e-18j]]
[[-0.24217583+4.29625217e-18j -0.32630731-1.69098724e-18j]]
[[-0.2186835 +4.64013137e-18j -0.35792312-3.03835702e-18j]]
[[-0.25643316+9.06639512e-19j -0.33624276-1.56284872e-18j]]
[[-0.24315852+2.16536092e-18j -0.34252763-2.40354231e-18j]]
[[-0.24214637+1.58723257e-18j -0.35067098-2.96337638e-18j]]
[[-0.25696132+6.69916791e-18j -0.32861947-3.77246611e-18j]]
[[-0.21217986+5.96750465e-18j -0.34691829-4.08588354e-18j]]
[[-0.22729396+7.64113266e-18j -0.34725388-4.66694595e-18j]]
[[-0.23441366+5.84704339e-18j -0.36386594-1.50320902e-18j]]
[[-0.20425488+8.80239512e-18j -0.37103466-3.29517902e-18j]]
[[-0.26082835+3.80501833e-18j -0.34305098-4.97878313e-18j]]
[[-0.25538263+5.23689973e-18j -0.32313906-2.84426105e-18j]]
[[-0.20771601+4.18693306e-18j -0.36408854-4.78059133e-18j]]
[[-0.26205705+4.71891938e-18j -0.35328415-1.32019211e-18j]]
[[-0.31146899+6.93296287e-18j -0.18015703-4.07533569e-18j]]
[[-0.21570972+3.74303263e-18j -0.35790712-3.95513687e-18j]]
[[-0.23294011+7.79766111e-18j -0.35208023-3.90222664e-18j]]
[[-0.23018865+7.29661740e-19j -0.36597634-5.91356486e-18j]]
[[-0.26247771-9.2529686e-19j -0.34258244-2.8751576e-18j]]
[[-0.32913148+4.19184426e-19j -0.17360812-5.90539926e-19j]]
[[-0.25086171+5.98716399e-18j -0.31471234-6.74908674e-18j]]
[[-0.22528817+4.73413082e-18j -0.37119451-4.07693532e-18j]]
[[-0.24044703+3.22415016e-18j -0.33529563-4.04897861e-18j]]
[[-0.26313839+5.47448446e-18j -0.32618213-3.65073173e-18j]]
[[-0.21643476+7.34142279e-18j -0.34419581-3.07783593e-18j]]
