Weights
"[[-2.18238095-4.37950870e-19j -2.0367636 -4.88229674e-19j
  -2.75623866-4.49225789e-19j -2.64554432-5.07744000e-19j
  -2.51405229-4.58796106e-19j -2.47596784-6.69221036e-19j
  -1.8853251 -5.61229580e-19j -2.18158356-6.08342467e-19j
  -2.24718351-6.38169588e-19j -1.68274439-3.49431173e-19j
  -1.96432813-4.99450679e-19j -1.55538671-3.80169578e-19j
  -1.56600952-2.58229221e-19j]]"
"[[-2.23800757+5.19000650e-19j -2.09269724+1.19730856e-18j
  -2.61051127+2.96876655e-19j -2.6529269 +3.34171986e-19j
  -2.40694222+4.41243026e-19j -2.49670082+3.08065658e-19j
  -1.86205188+1.82203705e-19j -2.20955959+1.81777724e-19j
  -2.26555452+7.39887634e-19j -1.7786705 +4.23406705e-19j
  -2.06169561+4.33999034e-19j -1.63241057+5.10862207e-19j
  -1.56655488+3.98416709e-19j]]"
"[[-2.26495577-5.81682547e-20j -2.06954782+2.84301909e-20j
  -2.65668743-1.00722158e-19j -2.56779298+6.47256302e-20j
  -2.46819666+1.47633625e-20j -2.46045316-2.95204686e-20j
  -1.8744151 -1.11893622e-19j -2.18484049-2.22519865e-19j
  -2.16426959+1.44289863e-19j -1.79274151+5.36699560e-19j
  -2.07162751-1.00499890e-19j -1.61938022-8.32200078e-20j
  -1.66203566+3.57314756e-19j]]"
"[[-2.22454489+3.32030090e-19j -2.09230768+5.47300589e-19j
  -2.63739764+4.72866567e-19j -2.67282697+2.82354203e-19j
  -2.41705257+3.60763719e-19j -2.49548414+4.97541708e-19j
  -1.89123339+5.11285907e-19j -2.19214783+2.93137353e-19j
  -2.31800424+3.74139269e-19j -1.79551118+6.88392941e-20j
  -1.96555262+3.82574370e-19j -1.60843469+4.45614673e-19j
  -1.52624232+3.76812481e-19j]]"
"[[-2.25619799+1.00262232e-19j -2.08626123+5.99273600e-19j
  -2.63830174+9.00160761e-20j -2.62700522+8.41299769e-20j
  -2.43643898+1.55770640e-19j -2.48872113-1.12003195e-21j
  -1.87837052-2.87254953e-19j -2.15552036+1.70153699e-19j
  -2.24116114+2.01847267e-19j -1.79966029+5.23553452e-19j
  -2.03908799-2.17770647e-19j -1.62826361-6.70635339e-20j
  -1.53402248+8.94861671e-20j]]"
"[[-2.21384367+3.63803507e-19j -2.01992693+3.66326555e-19j
  -2.73470795+5.79509431e-19j -2.6434217 +5.85432321e-19j
  -2.51402451+3.75549806e-19j -2.49088449+4.41553040e-19j
  -1.90370696+5.30030621e-19j -2.2152179 +4.43770471e-19j
  -2.20066255+6.47781813e-19j -1.73344608+1.72148531e-19j
  -2.03549039+3.44260695e-19j -1.59565551+3.27219451e-19j
  -1.45708723+3.26721282e-19j]]"
"[[-2.23237309-2.72755196e-19j -2.01320366-6.10700844e-19j
  -2.68890472-2.54238622e-19j -2.6603074 -5.12816805e-19j
  -2.42366463-1.86358929e-19j -2.44478788-1.16893802e-19j
  -1.88164681-7.20926713e-20j -2.22157886-2.90451855e-19j
  -2.10605037-3.65017879e-19j -1.76995183-1.56449099e-19j
  -2.06888188-9.22711845e-20j -1.63872131-3.06397763e-19j
  -1.57798626+5.33250138e-21j]]"
"[[-2.20268953+1.62976210e-20j -2.0905725 +6.42046512e-20j
  -2.65865194+2.90616184e-20j -2.61125685-1.46387671e-20j
  -2.50389317+1.70813931e-19j -2.48142548-6.01871966e-20j
  -1.85703631+2.54854255e-20j -2.22096562-1.00043536e-19j
  -2.26469648-7.01508678e-20j -1.73265941-6.11779987e-20j
