,1,2,3,4,5,6,7,8,9,10
1,1.00000,0.00000,0.89354,0.00000,---,---,0.00000,0.00000,0.03196,0.00000
2,0.00000,1.00000,0.00000,1.00000,---,---,0.00000,0.00000,0.00000,0.00046
3,0.89354,0.00000,1.00000,0.00000,---,---,0.00000,0.00000,0.03982,0.00000
4,0.00000,1.00000,0.00000,1.00000,---,---,0.00000,0.00000,0.00000,0.00046
5,---,---,---,---,1.00000,---,---,---,---,---
6,---,---,---,---,---,1.00000,---,---,---,---
7,0.00000,0.00000,0.00000,0.00000,---,---,1.00000,0.00000,0.00000,0.00000
8,0.00000,0.00000,0.00000,0.00000,---,---,0.00000,1.00000,0.00000,0.00000
9,0.03196,0.00000,0.03982,0.00000,---,---,0.00000,0.00000,1.00000,0.00000
10,0.00000,0.00046,0.00000,0.00046,---,---,0.00000,0.00000,0.00000,1.00000
