Modelo,Media_F1_Scores,Max_F1_Scores,Min_F1_Scores,Std_F1_Scores
IQCNDsE_Coluna,0.95916,0.97305,0.93848,0.00938
IQC_AIL_Coluna,0.95049,0.96247,0.92316,0.00838
IQC_Coluna,0.95049,0.96247,0.92316,0.00838
IQC_Linha,0.42714,0.46960,0.37944,0.02424
IQC_AIL_Linha,0.42630,0.46960,0.37944,0.02425
IQCNDsE_Linha,0.40762,0.49155,0.33284,0.04218
IQCpQ_tgt2_Coluna,0.19011,0.19011,0.19011,0.00000
IQCpQ_tgt2_Linha,0.14134,0.14134,0.14134,0.00000
IQC_Angle_Linha,---,---,---,---
IQC_Angle_Coluna,---,---,---,---
