Modelo,Media_Accuracy,Max_Accuracy,Min_Accuracy,Std_Accuracy,Media_F1_Scores,Max_F1_Scores,Min_F1_Scores,Std_F1_Scores
IQCNDsE_Coluna,0.95802,0.97190,0.93758,0.00944,0.95916,0.97305,0.93848,0.00938
IQCNDsE_Linha,0.55205,0.61797,0.48922,0.03344,0.40762,0.49155,0.33284,0.04218
IQCpQ_tgt2_Coluna,0.39935,0.39935,0.39935,0.00000,0.19011,0.19011,0.19011,0.00000
IQCpQ_tgt2_Linha,0.26928,0.26928,0.26928,0.00000,0.14134,0.14134,0.14134,0.00000
IQC_AIL_Coluna,0.94917,0.96111,0.92092,0.00864,0.95049,0.96247,0.92316,0.00838
IQC_AIL_Linha,0.50776,0.54444,0.46699,0.02026,0.42630,0.46960,0.37944,0.02425
IQC_Angle_Coluna,---,---,---,---,---,---,---,---
IQC_Angle_Linha,---,---,---,---,---,---,---,---
IQC_Coluna,0.94917,0.96111,0.92092,0.00864,0.95049,0.96247,0.92316,0.00838
IQC_Linha,0.50850,0.54444,0.46699,0.02031,0.42714,0.46960,0.37944,0.02424
