Modelo,Media_Accuracy,Max_Accuracy,Min_Accuracy,Std_Accuracy
IQCNDsE_Coluna,0.9580174291938999,0.9718954248366014,0.9375816993464052,0.009439837639247375
IQC_AIL_Coluna,0.9491721132897601,0.961111111111111,0.9209150326797386,0.008638036091473648
IQC_Coluna,0.9491721132897601,0.961111111111111,0.9209150326797386,0.008638036091473648
IQCNDsE_Linha,0.5520479302832245,0.6179738562091504,0.4892156862745097,0.03343657459005973
IQC_Linha,0.5084967320261438,0.5444444444444445,0.4669934640522875,0.020313353628408456
IQC_AIL_Linha,0.507755991285403,0.5444444444444445,0.4669934640522875,0.020262334551858076
IQCpQ_tgt2_Coluna,0.3993464052287583,0.3993464052287582,0.3993464052287582,1.1292025708167404e-16
IQCpQ_tgt2_Linha,0.269281045751634,0.269281045751634,0.269281045751634,0.0
IQC_Angle_Linha,0.269281045751634,0.269281045751634,0.269281045751634,0.0
IQC_Angle_Coluna,0.269281045751634,0.269281045751634,0.269281045751634,0.0
