Weights
"[[-0.15248227+0.j  0.4426632 +0.j -0.99736978+0.j -0.37857769+0.j
  -0.60212174+0.j -0.81251244+0.j -0.62454632+0.j -0.30858929+0.j
  -0.20461083+0.j  0.08309951+0.j -0.16058133+0.j  0.37353759+0.j
   0.47323998+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15240448+0.j  0.44271087+0.j -0.9973306 +0.j -0.37842646+0.j
  -0.60020273+0.j -0.81251738+0.j -0.62457078+0.j -0.30858362+0.j
  -0.20460476+0.j  0.08300375+0.j -0.16057073+0.j  0.37354855+0.j
   0.47300611+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.1522801 +0.j  0.44275495+0.j -0.99732156+0.j -0.3782025 +0.j
  -0.60018131+0.j -0.81252239+0.j -0.62455897+0.j -0.30857773+0.j
  -0.20460963+0.j  0.08297014+0.j -0.16056373+0.j  0.37357586+0.j
   0.47304105+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15234799+0.j  0.44266225+0.j -0.99734088+0.j -0.37837544+0.j
  -0.60019097+0.j -0.81251503+0.j -0.62456298+0.j -0.30858485+0.j
  -0.20460142+0.j  0.08298794+0.j -0.16056457+0.j  0.37359429+0.j
   0.47304723+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15260878+0.j  0.44260896+0.j -0.99738529+0.j -0.37885829+0.j
  -0.60267604+0.j -0.81260507+0.j -0.62462464+0.j -0.3085958 +0.j
  -0.20461958+0.j  0.0828649 +0.j -0.1605679 +0.j  0.3735142 +0.j
   0.47329693+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15269266+0.j  0.44261354+0.j -0.99740938+0.j -0.37891438+0.j
  -0.60336414+0.j -0.81257944+0.j -0.6246081 +0.j -0.30859493+0.j
  -0.2046545 +0.j  0.08296534+0.j -0.16059909+0.j  0.37348015+0.j
   0.47340134+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15252312+0.j  0.44264417+0.j -0.99734749+0.j -0.37840302+0.j
  -0.60073209+0.j -0.8125211 +0.j -0.62455608+0.j -0.30858661+0.j
  -0.20463224+0.j  0.08302164+0.j -0.16058813+0.j  0.37351872+0.j
   0.473068  +0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15251761+0.j  0.4426395 +0.j -0.99736954+0.j -0.37868948+0.j
  -0.60207153+0.j -0.8125442 +0.j -0.62458502+0.j -0.30859494+0.j
  -0.20464575+0.j  0.08298402+0.j -0.16057923+0.j  0.37354978+0.j
   0.47321521+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.1525791 +0.j  0.44260154+0.j -0.99737943+0.j -0.37863408+0.j
  -0.60160349+0.j -0.81256835+0.j -0.62459443+0.j -0.30859278+0.j
  -0.20462983+0.j  0.08297009+0.j -0.16058059+0.j  0.37348759+0.j
   0.47319863+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15245559+0.j  0.44267224+0.j -0.99732112+0.j -0.37814341+0.j
  -0.60154929+0.j -0.81255671+0.j -0.62458194+0.j -0.30858949+0.j
  -0.20461908+0.j  0.08297728+0.j -0.16057035+0.j  0.37356384+0.j
   0.47315732+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15284761+0.j  0.44251231+0.j -0.99742271+0.j -0.37903325+0.j
  -0.60452966+0.j -0.81261817+0.j -0.62465451+0.j -0.30859901+0.j
  -0.20467465+0.j  0.08287177+0.j -0.16059009+0.j  0.3734493 +0.j
   0.47348588+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15242363+0.j  0.44266793+0.j -0.99734505+0.j -0.37828399+0.j
  -0.60077106+0.j -0.81251777+0.j -0.62456363+0.j -0.30858563+0.j
  -0.20460922+0.j  0.08295291+0.j -0.16057067+0.j  0.37358954+0.j
   0.4730726 +0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15251514+0.j  0.44271014+0.j -0.9973531 +0.j -0.37846293+0.j
  -0.60224575+0.j -0.81256406+0.j -0.62459938+0.j -0.30859094+0.j
  -0.20461626+0.j  0.08296448+0.j -0.1605782 +0.j  0.37350819+0.j
   0.47324498+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15253305+0.j  0.44256304+0.j -0.99737878+0.j -0.37868565+0.j
  -0.60208968+0.j -0.81255992+0.j -0.62458698+0.j -0.30859456+0.j
  -0.20459804+0.j  0.08297714+0.j -0.16057616+0.j  0.37354371+0.j
   0.47326753+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15240539+0.j  0.44261296+0.j -0.99732682+0.j -0.378433  +0.j
  -0.60103792+0.j -0.81252935+0.j -0.62455485+0.j -0.30859668+0.j
  -0.20460545+0.j  0.08297102+0.j -0.16056348+0.j  0.37360343+0.j
   0.4731252 +0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15230207+0.j  0.44269568+0.j -0.9973055 +0.j -0.37796742+0.j
  -0.59864277+0.j -0.81250755+0.j -0.62455762+0.j -0.30857847+0.j
  -0.20460624+0.j  0.0829897 +0.j -0.16055683+0.j  0.37359413+0.j
   0.47283971+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15199107+0.j  0.44288865+0.j -0.99724806+0.j -0.37787292+0.j
  -0.59685341+0.j -0.81245717+0.j -0.62448653+0.j -0.3085784 +0.j
  -0.20453665+0.j  0.08302894+0.j -0.16053777+0.j  0.3737071 +0.j
   0.47259779+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15239732+0.j  0.44270696+0.j -0.99733191+0.j -0.37831545+0.j
  -0.60010336+0.j -0.81250406+0.j -0.62454704+0.j -0.30858406+0.j
  -0.20461507+0.j  0.08302024+0.j -0.16057809+0.j  0.37355883+0.j
   0.47295696+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15244599+0.j  0.44268818+0.j -0.99733342+0.j -0.37830801+0.j
  -0.60116333+0.j -0.81253942+0.j -0.62456093+0.j -0.30858349+0.j
  -0.20463682+0.j  0.08292761+0.j -0.16057642+0.j  0.37354527+0.j
   0.47312593+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15226328+0.j  0.44270155+0.j -0.99732995+0.j -0.37822879+0.j
  -0.59927344+0.j -0.81251699+0.j -0.62455537+0.j -0.30857969+0.j
  -0.20459721+0.j  0.0830027 +0.j -0.16056325+0.j  0.37358049+0.j
   0.47289419+0.j  0.75623487+0.j -0.94522481+0.j  0.34093502+0.j]]"
"[[-0.15228684+0.j  0.4426937 +0.j -0.99735019+0.j -0.37830715+0.j
