Weights
"[[-0.28060968-9.00320213e-20j  0.32841195-4.23545254e-20j
  -1.11478774-7.87959823e-20j -0.51873398-7.46415522e-20j
  -0.82010978-9.83756127e-20j -0.91442163-5.80301583e-20j
  -0.70681122-5.49844284e-20j -0.43134523-4.07899253e-20j
  -0.30475162-7.57806032e-20j -0.02298764-9.32855704e-20j
  -0.27079519-9.31013595e-20j  0.26885646-7.66490271e-20j
  -0.67295439-6.92928212e-20j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28052001-6.68687990e-20j  0.32884659-1.24043201e-19j
  -1.11418843-8.47310881e-20j -0.51871602-1.02533073e-19j
  -0.81873869-6.37877018e-20j -0.91485049-5.60566577e-20j
  -0.70730544+4.27061011e-21j -0.43133141-1.20910391e-19j
  -0.30493153-3.78637708e-20j -0.02375984-1.34897756e-19j
  -0.27095016-3.73280864e-20j  0.26855954-2.40601569e-20j
  -0.67361537-6.28589659e-20j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28087825+1.42548075e-20j  0.32957942+3.82943482e-20j
  -1.11463694+4.75154237e-20j -0.51862992+4.01236789e-20j
  -0.81983854+1.73287477e-21j -0.91485148-9.03093068e-21j
  -0.70754593+1.68586657e-20j -0.43111829+5.61354015e-20j
  -0.30591516-9.59886325e-21j -0.0238308 -1.78801314e-20j
  -0.27095734+2.23814028e-20j  0.26867809+1.68669200e-20j
  -0.67393037-3.37123987e-21j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28040619+1.33130265e-19j  0.32895797+1.07612920e-19j
  -1.11461535+1.25338171e-19j -0.51852259+1.31607643e-19j
  -0.8194646 +1.09274884e-19j -0.91512554+1.10999460e-19j
  -0.70806841+4.29805506e-20j -0.43079717+1.58113203e-19j
  -0.30495165+6.01552264e-20j -0.02315136+1.27646883e-19j
  -0.27033575+1.32994116e-19j  0.26873422+1.13509811e-19j
  -0.67272447+7.62428844e-20j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28048737+2.04934522e-20j  0.33015676+5.00900968e-20j
  -1.11425579+4.95057757e-20j -0.51856881+5.44343878e-20j
  -0.81899494+6.81564786e-21j -0.91493426+5.31094178e-20j
  -0.70754291+2.65161657e-20j -0.43099159+2.49022062e-22j
  -0.30640748+9.43685463e-24j -0.02292498+5.65430839e-21j
  -0.27041148-6.89062651e-21j  0.26775292+1.98283010e-20j
  -0.67302405+1.73914134e-21j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.2804371 -1.34451385e-19j  0.32864384-1.43484866e-19j
  -1.11491938-1.39778488e-19j -0.51880525-1.49256787e-19j
  -0.81947359-1.30354657e-19j -0.91449008-8.19668807e-20j
  -0.70796351-5.29304276e-20j -0.43040379-1.70894608e-19j
  -0.30460304-5.76485914e-20j -0.02315285-1.81207564e-19j
  -0.27055023-1.06325457e-19j  0.26816626-7.93182598e-20j
  -0.67250662-8.66633486e-20j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28073065+2.34989435e-19j  0.32840902+3.30752091e-19j
  -1.11501609+2.43737484e-19j -0.51888691+2.58956199e-19j
  -0.81939806+2.10624055e-19j -0.91477123+2.13301416e-19j
  -0.707921  +1.49821109e-19j -0.43102193+2.27622814e-19j
  -0.30423107+2.02273335e-19j -0.0226739 +1.72960392e-19j
  -0.27183054+2.25726566e-19j  0.26805709+2.18407050e-19j
  -0.67272864+1.61481729e-19j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.2805012 +1.66806690e-19j  0.32843982+1.26661522e-19j
  -1.1141604 +1.65980011e-19j -0.51843421+1.66035348e-19j
  -0.81943782+1.40502499e-19j -0.91505095+1.52691471e-19j
  -0.7074834 +8.60119103e-20j -0.4315773 +2.04920288e-19j
  -0.30564065+9.67466933e-20j -0.02349496+1.39056843e-19j
  -0.27028597+1.51132280e-19j  0.26831989+1.38233671e-19j
  -0.67215117+9.81023934e-20j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28063455-9.40036489e-20j  0.32826922-1.93423337e-19j
  -1.11466426-1.02955248e-19j -0.51868044-8.57199286e-20j
  -0.81948195-1.09530858e-19j -0.91490944-6.13571182e-20j
  -0.70667281+8.39295033e-21j -0.43180368-1.55956248e-19j
  -0.30492581-1.78013202e-20j -0.02335241-1.43344547e-19j
  -0.2702068 -4.82110092e-20j  0.26859468-6.26369139e-21j
  -0.67337404-7.97792081e-20j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28024548-1.33857050e-19j  0.32855976-1.10128989e-19j
  -1.11389327-1.13543477e-19j -0.51786157-1.31329954e-19j
  -0.81924584-1.03138617e-19j -0.91541646-8.53953649e-20j
  -0.70710797-7.83569879e-20j -0.43114184-1.21489320e-19j
  -0.30525027-7.08298650e-20j -0.02286563-1.53717136e-19j
  -0.27045679-1.36616513e-19j  0.26844116-1.11399678e-19j
  -0.67276698-1.06161954e-19j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28051687+1.23980380e-20j  0.32699931-8.23785919e-20j
  -1.11430614-5.68053499e-22j -0.51849316-1.35559017e-20j
  -0.81918566+1.06160990e-20j -0.91508726+3.42175902e-20j
  -0.70768166+2.30871828e-20j -0.43113964+1.04365272e-20j
  -0.30528355+2.58301750e-20j -0.02343818+4.13713227e-20j
  -0.27033816+9.09400895e-21j  0.26847994+1.06744756e-20j
  -0.67236734+2.39891148e-20j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28076722-3.08191155e-20j  0.32854264-9.66416942e-21j
  -1.11453579-2.68952553e-20j -0.5185536 -2.96238454e-20j
  -0.81970409-3.73069987e-20j -0.91425816+8.18368823e-21j
  -0.70779259+1.23544344e-20j -0.4312301 -7.51223681e-20j
  -0.30540803-5.97201804e-22j -0.02386444-3.47206376e-20j
  -0.27082893-7.62503063e-21j  0.26920877-4.39822888e-21j
  -0.6734757 -3.76882681e-20j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28055458+2.15626026e-19j  0.32905802+2.08314331e-19j
  -1.11448039+2.08360580e-19j -0.51862931+2.28516235e-19j
  -0.81940885+2.10297461e-19j -0.91501705+1.55452900e-19j
  -0.70792995+1.29041910e-19j -0.43049547+1.73549251e-19j
  -0.30587332+1.83210306e-19j -0.02266882+1.99827180e-19j
  -0.27039819+1.73317962e-19j  0.26756113+1.97556175e-19j
  -0.6728874 +1.39425245e-19j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.2804299 -2.86307863e-20j  0.32833682-1.64725861e-20j
  -1.11444761-2.31014411e-20j -0.51836451-2.80134378e-20j
  -0.81947948-4.41619671e-20j -0.9159848 -1.27554399e-20j
  -0.70816027+6.16261302e-21j -0.4304179 -8.31097301e-20j
  -0.30451718-1.74182902e-20j -0.02325467-4.96484721e-20j
  -0.27044102-2.55917093e-20j  0.26902461-2.82950920e-20j
  -0.67315286-4.12240323e-20j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28072019-4.07354573e-20j  0.3281974 +7.98378961e-20j
  -1.11481014-6.28801325e-20j -0.51892996-3.67875794e-20j
  -0.81956817-4.76568457e-20j -0.91437643-3.43805781e-20j
  -0.7072378 -3.66720332e-20j -0.43206237-5.84714595e-20j
  -0.30487678-2.87327558e-20j -0.02310537-3.85381457e-20j
  -0.27035649-6.03565956e-20j  0.26893108-1.60022499e-20j
  -0.67386061-2.88370769e-20j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28078529+2.76175843e-19j  0.32968822+2.23446502e-19j
  -1.11466925+2.73397875e-19j -0.51897846+2.84291650e-19j
  -0.81939517+2.78584146e-19j -0.91498534+2.30507125e-19j
  -0.7081025 +1.59221696e-19j -0.43099595+2.87290402e-19j
  -0.30592516+1.66442459e-19j -0.02262094+2.52720682e-19j
  -0.27121156+2.48358344e-19j  0.26790043+2.02118158e-19j
  -0.67372266+2.22272745e-19j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28059154-2.12574352e-20j  0.32961821-9.08423707e-20j
  -1.11406814-3.15058229e-20j -0.51852133-4.73899148e-20j
  -0.81963461-1.76866444e-20j -0.91520287-4.41980846e-20j
  -0.7082636 -5.84921207e-20j -0.43076005-2.18121428e-20j
  -0.30554866-5.92306647e-20j -0.02404461-4.63914156e-20j
  -0.27041472+1.81108472e-20j  0.26892316-2.55173546e-20j
  -0.6734569 -2.24028027e-21j  0.75623487+0.00000000e+00j
  -0.94522481+0.00000000e+00j  0.34093502+0.00000000e+00j]]"
"[[-0.28054087+3.51529457e-20j  0.32948952+3.13772174e-20j
  -1.11450188+2.86238733e-20j -0.51864282+3.34396977e-20j
